名称,位置,总价,每平方单价,介绍
楼层好，采光好，封闭小区，金广物业。,金色阳光家园B3区,105,"11,240元/平",高楼层(共6层)2室2厅|93.42平米|南北
万颗树带40平大露台房源，小区少见房源,万棵树,170,"19,970元/平",低楼层(共24层)2室1厅|85.13平米|南北
革新街 低楼层 南北通透 婚房装修 采光好 单价低,革新小区,36,"4,713元/平",低楼层(共6层)2室2厅|76.4平米|南北
大园靠里没有噪音，楼层好，价格可议,远洋自然,107,"12,707元/平",高楼层(共26层)2室1厅|84.21平米|南
普罗旺斯二期 2室1厅 南,普罗旺斯二期,139,"14,931元/平",中楼层(共30层)2室1厅|93.1平米|南
价格合适  相对安静 小区旁边就是北大河 配套全。,憬园河畔,68.8,"7,557元/平",中楼层(共6层)2室1厅|91.05平米|南西北
琻二 小两室。离车站近，离市场也近，方便,金四街,130,"17,999元/平",中楼层(共7层)2室1厅|72.23平米|南
金石天成东区，顶楼，位置佳，采光充足,大连金石天成,69,"8,150元/平",高楼层(共8层)2室2厅|84.67平米|南北
小区中间位置，配套设施完善，出行方便,石油六闾,42,"7,142元/平",高楼层(共7层)2室1厅|58.81平米|南
香海小镇南北通厅海景房，紧靠世界和平公园，养老度假,中庚香海小镇,55,"5,691元/平",低楼层(共26层)2室1厅|96.66平米|南北
古城丁区多层三楼一室一厅带仓房,古城丁区,32,"8,102元/平",中楼层(共6层)1室1厅|39.5平米|南
山海一家三期 2室1厅 南 北,山海一家三期,152,"16,636元/平",高楼层(共11层)2室1厅|91.37平米|南北
至诚小区 满两年  诚心出售 交通便利  配套齐全,至诚小区,190,"26,765元/平",高楼层(共7层)2室1厅|70.99平米|东南西
高新大有恬园前排2室南北通透精装采光好,大有恬园,143.5,"14,627元/平",高楼层(共6层)2室2厅|98.11平米|南北
华东路 玉树临居 三室 南北通透 交通便利 看房随时,玉树临居,144.8,"13,667元/平",低楼层(共10层)3室1厅|105.95平米|南北
太原街 美丽巷  交通便利 生活配套成熟 诚心出售,美丽巷,99,"10,997元/平",高楼层(共7层)3室1厅|90.03平米|东西
光明小区，二楼，双阳两室，采光充足，位置好拎包入住,光明小区,37,"6,355元/平",低楼层(共7层)2室1厅|58.23平米|南
兴工街好位置门头房   精装修直接可用于经营,兴工街,155,"25,523元/平",低楼层(共4层)2室2厅|60.73平米|南北
南北通透户型带室外独立仓房出行便利,金石小区,39.8,"6,663元/平",中楼层(共6层)1室1厅|59.74平米|南北
34 中 中间楼层 南北通透 无坡 采光好 近车站,青远巷,89,"24,029元/平",中楼层(共5层)2室1厅|37.04平米|南北
此房采光好  位置好 下楼是市场  交通便利,新联路,30,"4,803元/平",高楼层(共6层)2室1厅|62.47平米|南北
宜宁里 2室1厅 南,宜宁里,39.9,"5,542元/平",高楼层(共7层)2室1厅|72平米|南
东财家属楼  小区安静 近地铁 全明户型南北向通风好,东财烛光园,160,"14,390元/平",低楼层(共5层)2室2厅|111.19平米|南北
小高层三室 南北通厅 五明户型  环境优美 随时看房,金科金弘基·集美郡,79.5,"9,061元/平",低楼层(共15层)3室2厅|87.74平米|南北
精装修拎包入住，楼层好 近小区门口 进出方便,旭辉江山樾,105,"10,554元/平",中楼层(共18层)3室2厅|99.49平米|南北
产权满五年唯一 近车站 出行便利 诚心卖  看房随时,绿波小区,99.8,"11,853元/平",低楼层(共7层)2室1厅|84.2平米|南北
南北通透，装修合理，保持良好，采光好无遮挡，视线好,依山云水,177,"19,672元/平",高楼层(共5层)2室1厅|89.98平米|南北
大纺八十，三室二卫，不一不顶采光好,东北名苑,236,"18,608元/平",高楼层(共6层)3室1厅|126.83平米|南北
三室一厅，南北通透，近地铁，近市场，欢迎实地看房,侯一小区,70,"9,223元/平",中楼层(共7层)3室1厅|75.9平米|南北
好地角 低楼层 好户型 售价便宜,孛兰小区,28.3,"4,631元/平",中楼层(共7层)2室1厅|61.12平米|北南
近地铁，近市场，南北，采光好，手续清晰，看房方便,华新苑,75,"13,200元/平",高楼层(共6层)2室1厅|56.82平米|南北
滨海丰园 清水房随意装修，单价低，视野好,滨海丰园,108,"8,715元/平",中楼层(共10层)3室3厅|123.93平米|南北
西安路商圈，闹中取静的封闭小区，电梯九楼，精装修。,城市佳园,140,"16,866元/平",高楼层(共11层)2室1厅|83.01平米|南北
新机场商圈！次新房！私人订制装修！一天没住！急售！,中梁观澜壹号院,95,"8,691元/平",低楼层(共9层)3室1厅|109.32平米|南北
金润小区B区 2室2厅 南 北,金润小区B区,77,"9,136元/平",中楼层(共7层)2室2厅|84.29平米|南北
伊景华园 1室0厅 东北,伊景华园,152,"27,393元/平",中楼层(共35层)1室0厅|55.49平米|东北
城市中的慢生活！管家式管理！下叠产品！上下三层！,万科八栋墅,420,"42,229元/平",低楼层(共5层)1室1厅|99.46平米|南北
锦虹南园 一室 户型好 急售 看房有钥匙,锦虹南园,39,"8,409元/平",高楼层(共6层)1室1厅|46.38平米|南
万科品质小区 两室精装修 全明户型 诚心出售,万科半山半海,198,"22,114元/平",高楼层(共18层)2室1厅|89.54平米|南北
钻石湾一期，三室两卫，双南正品字户型,远洋钻石湾一期,395,"28,465元/平",高楼层(共18层)3室1厅|138.77平米|南北
促进小区 明卫 装修保持干净 南北通透,促进小区,83.3,"11,487元/平",中楼层(共7层)2室2厅|72.52平米|南北
台山二楼南北有装修，诚心出售价格可谈,台山,65,"11,723元/平",低楼层(共7层)2室1厅|55.45平米|南北
泡崖五区 低楼层 两室一厅 近泡崖大市场 出行购物方便,泡崖五区,62,"9,754元/平",低楼层(共6层)2室1厅|63.57平米|南北
中冶蓝城，两室，装修保持好，不挡光,中冶蓝城辛虹园,59.8,"9,325元/平",低楼层(共8层)2室1厅|64.13平米|南北
新日街 2室1厅 南 北,新日街,60,"9,335元/平",高楼层(共7层)2室1厅|64.28平米|南北
招商四期，全天采光，精装修三室两厅两卫。,招商公园1872四期,207,"19,346元/平",中楼层(共9层)3室2厅|107平米|南北
清都记忆 三阳户型 楼层好 采光充足 精装修,清都记忆,98,"10,919元/平",低楼层(共31层)2室1厅|89.76平米|南
南北小户型，精装即住，位置号，交通便利。,金二小学北,90,"17,302元/平",低楼层(共3层)2室1厅|52.02平米|南北
交通便利标准两室装修保持好拎包住,永平,130,"22,399元/平",高楼层(共7层)2室1厅|58.04平米|东西
万科城一期 小区安静 人车分流 楼层好 管家式物业,万科城,72,"9,262元/平",中楼层(共33层)2室1厅|77.74平米|南
八三散盘，步梯好楼层，近市场公交站，生活方便。,八三散盘,24.8,"6,667元/平",中楼层(共6层)2室1厅|37.2平米|南北
皇嘉花园，精装修， 地段好  ，体育公园 。,皇嘉花园,320,"21,903元/平",低楼层(共3层)3室2厅|146.1平米|南北
锦虹北园 小户型低楼层 规矩一室一厅 采光好,锦虹北园,49.9,"11,800元/平",低楼层(共6层)1室1厅|42.29平米|南
南岭新城三期 3室2厅 南 北,南岭新城三期,164,"18,094元/平",中楼层(共5层)3室2厅|90.64平米|南北
古城丁区 二楼 两室一厅 精装修 拎包入住,古城丁区,47.8,"8,755元/平",低楼层(共7层)2室1厅|54.6平米|南
泡崖康居园 3室1厅 南 北,泡崖康居园,86,"10,219元/平",低楼层(共6层)3室1厅|84.16平米|南北
星海公园，视野广阔，出行便利，配套完善,星海公园,86,"12,309元/平",高楼层(共7层)2室1厅|69.87平米|南
封闭小区，电梯，南北户型，位置好，房龄新 诚售,中海御湖熙谷,128,"13,067元/平",高楼层(共11层)3室2厅|97.96平米|南北
亲亲家园两室一厅，近地铁，配套完善,亲亲家园,115,"14,175元/平",中楼层(共6层)2室2厅|81.13平米|南北
封闭小区 精装一室小户型 楼层好拎包入住,南山南郡,49,"10,648元/平",高楼层(共31层)1室1厅|46.02平米|南
水师营 小户型 总房款低 养老刚需,东方戴维营,40,"6,857元/平",低楼层(共18层)2室1厅|58.34平米|南
房主自主，诚心出售，高楼层采光好,宏孚小区,90,"11,101元/平",高楼层(共7层)2室2厅|81.08平米|东
恒隆广场 奥龙匹克 三楼 户型规矩 急售,联合路,80,"12,990元/平",中楼层(共5层)2室0厅|61.59平米|南北
石油六闾南北两室近公园近车站近地铁近海底隧道有钥匙,石油六闾,39,"7,982元/平",高楼层(共6层)2室1厅|48.86平米|南北
泡崖一区 三室两厅两卫，大阳台房主急售,泡崖一区,98,"7,372元/平",高楼层(共6层)3室2厅|132.95平米|南北
华润海上东方 两室 精装 五明户型，中间楼层电梯洋房,华润置地海上东方,65,"8,353元/平",中楼层(共7层)2室2厅|77.82平米|南北
太原街 位置好 南北通透 生活便利 中间楼层,美春巷,65,"8,708元/平",中楼层(共7层)2室1厅|74.65平米|南北
中南路枫合万嘉一楼带花园 下跃 精装 下跃带窗,枫合万嘉,370,"27,008元/平",低楼层(共6层)4室3厅|137平米|南北
台山 三室两厅两卫 适合一大家人居住 位置楼层好,台山,115,"10,551元/平",中楼层(共7层)3室2厅|109平米|南北
中辰 小面积 中间楼层  采光好 随时可看,中辰国际公寓,54.5,"11,084元/平",中楼层(共10层)1室1厅|49.17平米|南
精装修 两室明卫 保持好，前排视野开阔位置好交通便利,颐和星海,270,"29,991元/平",高楼层(共36层)2室1厅|90.03平米|南
北环怡景标准户型采光好无遮挡下午看房提前约,北环怡景花园,39.6,"5,671元/平",中楼层(共6层)2室1厅|69.84平米|南北
大华锦绣海岸 2室1厅 南 北,大华锦绣海岸,88,"11,218元/平",低楼层(共18层)2室1厅|78.45平米|南北
此房精装修 中间楼层 采光好 业主诚意出售 21中广电,21中广电中心,99,"21,078元/平",中楼层(共5层)2室1厅|46.97平米|南北
浪琴湾 2室1厅 南,浪琴湾,43,"5,910元/平",高楼层(共18层)2室1厅|72.76平米|南
房子是两室的南北户型 保持的很干净 可以直接入住,商业大街,18,"3,036元/平",高楼层(共6层)2室1厅|59.3平米|南北
枫阳万家低楼层婚房装修便宜出售,枫阳万嘉,68,"7,261元/平",低楼层(共6层)2室1厅|93.66平米|南北
"南棉小区  一室的户型，采光好,位置佳.",南棉小区,17.5,"5,148元/平",高楼层(共5层)1室1厅|34平米|南
九中电梯楼，南向采光视野好，近中 心小，24，地铁站,九中金城街,160,"32,821元/平",中楼层(共15层)1室1厅|48.75平米|南
使用面积大 近中山公园 封闭小区,天兴花园一期,150,"21,586元/平",高楼层(共6层)3室1厅|69.49平米|南北
新加坡花园 两室 全明户型 好楼层 视野开阔,新加坡花园,56,"6,749元/平",高楼层(共18层)2室2厅|82.98平米|南北
安邦北湾樱花北园视野好可看海南北向屋里保持干净,安邦北湾,128,"10,357元/平",中楼层(共24层)3室2厅|123.59平米|南北
雯霆华苑三室一厅一梯两户5层洋房婚房装修,雯霆华苑,63.5,"9,080元/平",高楼层(共5层)3室2厅|69.94平米|南北
此房子，温馨舒适两室 非顶楼近地铁 市场 近车站,泡崖美林园,49.8,"8,986元/平",高楼层(共7层)2室1厅|55.42平米|南
大华锦绣华城八期 4室2厅 南 北 东,大华锦绣华城八期,280,"20,820元/平",低楼层(共26层)4室2厅|134.49平米|南北东
中间楼层，户型规矩，近市场，车站，公园,椒房,99,"13,536元/平",中楼层(共7层)3室1厅|73.14平米|南北
中央复兴里 一室一厅南向，视野开阔，光线充足,中央复兴里,122,"23,296元/平",低楼层(共31层)1室1厅|52.37平米|南
近地铁 南北通厅南向阳台有落地窗,中华城,99.4,"12,466元/平",高楼层(共22层)2室2厅|79.74平米|南北
西安路洋房 南北通透 精装修 拎包住,兴工街,191,"14,980元/平",高楼层(共6层)3室2厅|127.51平米|南北
华南地铁万象汇西北侧 实得近108平 精装三室 小高层,动力院景二期汇善南园,160,"15,553元/平",低楼层(共12层)3室2厅|102.88平米|南北
洋房两室户型，居住舒适户型方正，位置好，带车位。,红星海五期青屿蓝,166,"16,005元/平",中楼层(共5层)2室2厅|103.72平米|南北
动力一期，北入室花园，房主诚心出售。,动力院景一期汇仁南园,165,"16,397元/平",高楼层(共11层)3室1厅|100.63平米|南北
高城花园 南北通透 三楼 小区前排,高城花园,62,"7,004元/平",中楼层(共6层)2室1厅|88.53平米|南北
碧鸿海悦园 2室1厅 南,碧鸿海悦园,65,"8,476元/平",高楼层(共24层)2室1厅|76.69平米|南
装修嘎嘎好，进去就能住，南向的客厅，南侧就是小广场,金源南里,78,"9,614元/平",中楼层(共6层)2室1厅|81.14平米|南北
机场地铁 生活便利 万达广场 大商市场 低物业费 机场,迎客路（机场商圈）,69,"11,739元/平",中楼层(共6层)2室1厅|58.78平米|南
装修保持的好，采光好，设施完善，,世茂寰海城二期,80,"6,784元/平",高楼层(共24层)3室2厅|117.93平米|南北
纪念街(唐山街商圈) 2室1厅 南,纪念街(唐山街商圈),72.8,"11,002元/平",高楼层(共7层)2室1厅|66.17平米|南
南北通厅三室精装修  南北入户门 轻轨旁 一梯两户,新加坡花园,80,"7,660元/平",低楼层(共11层)3室2厅|104.45平米|南北
位置佳 户型好 交通便利 采光充足，琻3  76,76中学桥北,103,"17,288元/平",中楼层(共7层)2室1厅|59.58平米|南北
马栏广场南北通透两室，好楼层，楼下地铁，采光好,马栏北街（沙河口区）,89,"11,973元/平",中楼层(共5层)2室1厅|74.34平米|南北
德华小区，步梯五楼，精装两室  位置好 采光好,德华小区,46.5,"6,908元/平",中楼层(共7层)2室1厅|67.32平米|南北
马栏北街（甘井子区） 3室1厅 南 北,马栏北街（甘井子区）,75,"9,663元/平",低楼层(共6层)3室1厅|77.62平米|南北
34中兴民街 2室1厅 南,34中兴民街,99,"30,957元/平",低楼层(共4层)2室1厅|31.98平米|南
电力公寓  70年电梯房  近地铁,电力公寓,125,"13,752元/平",低楼层(共30层)2室1厅|90.9平米|南
中海华庭 2室1厅 南,中海华庭,128,"20,044元/平",高楼层(共24层)2室1厅|63.86平米|南
万国前排三楼带大平台可利用空间大户型方正，南北通透,万国宫馆一二期,190,"12,592元/平",低楼层(共27层)3室1厅|150.9平米|南北
隆成一品二期，标准户型，结婚装修，南北通透户型好,隆成壹品二期,70.6,"8,801元/平",中楼层(共6层)2室1厅|80.22平米|南北
房主诚心卖  精装修适合一家三口和老人居住,金湾山城,38,"7,284元/平",低楼层(共18层)1室1厅|52.17平米|南
龙湖品质小区 近万达商圈 地铁沿线 小区环境好,龙湖星海彼岸,251,"23,367元/平",中楼层(共31层)3室1厅|107.42平米|南北
封闭小区，海底隧道入口，南北朝向，地铁5号线,万成御园,113,"13,145元/平",低楼层(共30层)2室2厅|85.97平米|南北
"泡崖八区房主诚心出售,楼层好，采光佳",玉意街,65,"8,732元/平",高楼层(共6层)2室1厅|74.44平米|南
中山区近虎滩公园 高楼层视野开阔采光好,高云街,78,"9,014元/平",高楼层(共7层)2室1厅|86.54平米|南北
书香府第二期 3室1厅 东 南 北,书香府第二期,48,"8,593元/平",高楼层(共7层)3室1厅|55.86平米|东南北
小区中间位置 低楼层 老少皆宜 诚心卖,理工园,70,"11,861元/平",低楼层(共6层)2室1厅|59.02平米|南北
秀山路 1室1厅 南,秀山路,21,"6,030元/平",高楼层(共7层)1室1厅|34.83平米|南
一河两公园 2室1厅 南 北,一河两公园,55,"8,040元/平",高楼层(共34层)2室1厅|68.41平米|南北
近海面山房款低户型方正配套成熟,碧海华庭,38,"6,037元/平",中楼层(共27层)1室1厅|62.95平米|北
成熟小区、南北向两室、可以开门头,鹏程家园（开发区）,55,"7,982元/平",低楼层(共11层)2室1厅|68.91平米|南北
交大 地铁后身 3楼 两室精装修婚房,恒达花园（沙河口）,63,"12,764元/平",中楼层(共7层)2室1厅|49.36平米|南北
桥南，小户型，精装修，房款低，地脚好。,76中学桥南,42,"12,963元/平",高楼层(共4层)1室1厅|32.4平米|南北
大华次新小区，精装修一天未住，诚心卖,大华锦绣华城八期,195,"19,814元/平",低楼层(共32层)3室2厅|98.42平米|南北
新日里 近步行街 诚心出售 交通便利,新日里小区,63.8,"9,912元/平",中楼层(共6层)2室1厅|64.37平米|南北
封闭小区  24小时安保 精装修 配套齐全  看房方便,恒大港湾,72,"9,661元/平",低楼层(共17层)2室2厅|74.53平米|南北
近地铁，楼层好，采光好，装修好,松江小区,28,"8,806元/平",中楼层(共7层)1室1厅|31.8平米|南北
房主婚房装修  中间楼层  南北通厅,永安四季,69,"8,005元/平",低楼层(共18层)2室1厅|86.2平米|南北
台山 位置好精装修一室一厅 非顶楼,台山,40,"10,409元/平",高楼层(共7层)1室1厅|38.43平米|南北
封闭小区。视野开阔。采光充足，交通便利，近公园，,宝居佳苑,220,"25,166元/平",高楼层(共24层)2室1厅|87.42平米|南
华润幸福里二期  低密度洋房  中间楼层,华润置地幸福里二期,135,"11,746元/平",中楼层(共7层)3室2厅|114.94平米|北南
精装三室拎包入住 好楼层三楼 装修好视野好出行便利,鲁能泰山7号,78,"8,802元/平",中楼层(共6层)3室2厅|88.62平米|南北
中港路花园三室精装修拎包入住 房主诚心出售,中港路花园,85,"10,222元/平",高楼层(共19层)3室1厅|83.16平米|南北
金润小区B区 1室1厅 南,金润小区B区,40,"8,049元/平",低楼层(共18层)1室1厅|49.7平米|南
南北向户型，自己居住，保持好，去苏州发展,瑞仕尚城二期,79,"9,581元/平",高楼层(共11层)2室1厅|82.46平米|南北
次新房 人车分流 两梯两户，南北通透 采光好 随时看房,香周首府,175,"18,820元/平",中楼层(共18层)2室1厅|92.99平米|南北
两室好房，低楼层，精装修，南北通，实得面积大,绕山路,89,"10,936元/平",低楼层(共6层)2室1厅|81.39平米|南北
钻石9座，近轻轨，交通便利，房主自住精装修,钻石9座,90,"9,431元/平",低楼层(共30层)3室2厅|95.44平米|南北
沙河口区红旗东路 1室1厅 东 北,沙河口区红旗东路,64.5,"9,970元/平",中楼层(共6层)1室1厅|64.7平米|东北
精装修两室拎包入住，近轻轨市场,熙龙山庄,80,"11,854元/平",中楼层(共6层)2室1厅|67.49平米|南北
三室两卫大平层  精装修  保持可以,御景园,105,"6,964元/平",中楼层(共5层)3室2厅|150.78平米|南
小区前排视野开阔，中间楼层  精装修智能家居,中航国际广场二期,225,"24,428元/平",低楼层(共46层)2室2厅|92.11平米|南
润泽园 2室1厅 南 北,润泽园,125,"15,461元/平",高楼层(共11层)2室1厅|80.85平米|南北
封闭小区 下楼就是马栏地铁站 农贸市场 公交站,益嘉广场,92,"16,261元/平",中楼层(共30层)1室1厅|56.58平米|南
近轻轨！高楼层采光视野好，房主诚心出售，看房方便。,新希望乐城,55,"9,061元/平",高楼层(共32层)2室1厅|60.7平米|南
海脉精装小两室 南向低楼层  小区后排广场位置,海脉未来城,48.4,"8,739元/平",低楼层(共11层)1室1厅|55.39平米|南
马栏广场南北向 两室精装修 可拎包入住,马栏广场东,54,"9,903元/平",高楼层(共7层)2室1厅|54.53平米|南北
精装双南向两室，次新小区，可以拎包入住，业主诚心卖,乾豪欢乐颂,62,"8,606元/平",高楼层(共29层)2室2厅|72.05平米|南
东城好位置2室，诚心出售，价格可谈，看房有钥匙,东城天下,73,"9,594元/平",低楼层(共6层)2室1厅|76.09平米|南北
河口旁大三室，户型好，无连廊，景色好，楼龄新位置好,亿达河口湾二期,279,"23,074元/平",高楼层(共33层)3室2厅|120.92平米|南北
满五唯一 低楼层带露台 视野开阔 精装修可拎包入住,华夏金城,70,"10,233元/平",中楼层(共6层)2室1厅|68.41平米|南
海韵华府，精装修，高楼层，采光充足。,海韵华府,230,"25,471元/平",高楼层(共31层)1室1厅|90.3平米|南
房子在恒隆旁边教师大厦，楼层好，采光好，五明户型,教师大厦,83,"11,430元/平",低楼层(共31层)2室1厅|72.62平米|南西
双阳间，视野宽阔，采光充足，配套...,中心路三段,15.8,"5,360元/平",低楼层(共6层)1室1厅|29.48平米|南
湾里南小区 2室1厅 南 北,湾里南小区,80,"9,838元/平",低楼层(共11层)2室1厅|81.32平米|南北
大湾市场，两室户型，地铁1号线,千山路,52,"10,371元/平",高楼层(共7层)2室1厅|50.14平米|南北
华南  凯旋门二期 88平南北向 北卧没连廊 装修保持好,华润凯旋门二期,139,"15,624元/平",低楼层(共31层)2室1厅|88.97平米|南北
国宝星月湾精装修三室南北户型带车位，采光好，拎包住,国宝星月湾,145,"9,933元/平",低楼层(共25层)3室1厅|145.98平米|南北
楼层好，户型好，近公园夜市，诚心卖。配套成熟,翠竹小区,54,"8,846元/平",中楼层(共7层)2室1厅|61.05平米|南北
东山路小区 多层三楼 适合老人居住 房款少价格低,金州东山路小区,25,"8,003元/平",中楼层(共5层)1室1厅|31.24平米|南
华润四室两卫70万装修费3楼大洋房横空出世！,华润海中国七期,380,"26,725元/平",中楼层(共6层)4室2厅|142.19平米|南北
泉水锦泉源 多层 南北通厅 中间楼层 浅色装修  近公园,锦泉源B5区,85,"10,733元/平",中楼层(共6层)2室2厅|79.2平米|南北
招商兰溪谷 品质小区 全明  三室精装 保持好 业主急售,招商兰溪谷南区,248,"18,837元/平",低楼层(共25层)3室1厅|131.66平米|南北
中冶蓝城辛虹园4楼带装修小区前排位置视野广阔诚心卖,中冶蓝城辛虹园,60,"10,709元/平",中楼层(共8层)2室1厅|56.03平米|南北
采光足 房主诚心出售 精装修 南向双南卧 看房方便,泡崖五区,50.5,"9,757元/平",中楼层(共6层)2室1厅|51.76平米|南
隆昌世家 精装修3室2卫 楼层好 采光好位置好,隆昌世家,118,"11,115元/平",高楼层(共18层)3室2厅|106.17平米|南北
绿城诚园二期，无遮挡，全天采光，精装修,绿城诚园二期,210,"21,225元/平",中楼层(共27层)3室2厅|98.94平米|南北
李屯好楼层二楼两室一厅精装修未住出行方便交通便利,李屯工联街,44.9,"7,838元/平",低楼层(共6层)2室2厅|57.29平米|东
新上房源 精装修300W 拎包入住 海景房,未名山,1280,"45,085元/平",中楼层(共44层)3室2厅|283.91平米|南北
虎滩新区 2楼 采光好 南北户型  近地铁站,碧涛北园,149,"11,840元/平",低楼层(共7层)3室2厅|125.85平米|南北
正源吉祥e家 2室1厅 南 北,正源吉祥e家,98,"10,945元/平",中楼层(共18层)2室1厅|89.54平米|南北
车家村 1室1厅 南,车家村,38,"9,858元/平",低楼层(共8层)1室1厅|38.55平米|南
悦龙居 2室1厅 南,悦龙居,92,"12,044元/平",低楼层(共24层)2室1厅|76.39平米|南
泡崖二区 1室1厅 南,泡崖二区,46,"10,130元/平",中楼层(共7层)1室1厅|45.41平米|南
小户型有阁楼，麻雀虽小五脏俱全,彩霞园,38,"8,307元/平",高楼层(共6层)2室1厅|45.75平米|南
康馨园 南北通透 南客厅 视野开阔 采光充足 出行便利,泡崖康馨园,102,"11,291元/平",中楼层(共6层)2室2厅|90.34平米|南北
北京街南二楼田字格户型三室保持好看房便利诚心出售,北京街南,95,"14,686元/平",低楼层(共8层)3室1厅|64.69平米|南北
金源南里楼层好房主诚心卖光线视野好采光充足配套齐全,金源南里,59,"8,758元/平",中楼层(共6层)2室1厅|67.37平米|南
自在城三室两卫 精装修 楼层好位置好南北通厅全明户型,金地自在城,115,"10,166元/平",中楼层(共28层)3室1厅|113.13平米|南北
电梯洋房三楼 顶楼是四楼 安逸清净 住在景区里,枫和庭苑,97,"7,008元/平",中楼层(共4层)3室2厅|138.42平米|南北
出售重要地段华府世纪城光线好电梯高层,华府世纪城,83,"7,990元/平",高楼层(共31层)2室1厅|103.88平米|南北
青秀蓝湾二期 精装修三室 装修保持好 采光好,青秀蓝湾二期,172.8,"19,506元/平",中楼层(共11层)3室1厅|88.59平米|南北
软件园红凌路，泊林阳光南北向，采光好,泊林阳光B区,95.5,"13,906元/平",低楼层(共5层)2室1厅|68.68平米|南北
南北通透  望海39 干净整洁 位置好 首付不高,39中共建巷,90,"18,809元/平",中楼层(共5层)2室1厅|47.85平米|南北
户型好 中间楼层 山东路 千山路 业主诚心出售,千山路,49.8,"13,398元/平",中楼层(共7层)1室1厅|37.17平米|南北
平安小区 电梯小高层 中间楼层 三室一厅 爱民112,平安小区,94,"8,189元/平",高楼层(共19层)3室1厅|114.8平米|南北
金光小区79 近学X 价格可谈 户型好 南北安静,金光小区,175,"19,964元/平",中楼层(共7层)3室1厅|87.66平米|南北
好房精选  业主急售  看房方便,红星国际广场,110,"11,808元/平",中楼层(共29层)3室1厅|93.16平米|南西南北
泡崖四区 2室2厅 南 北,泡崖四区,79,"10,076元/平",中楼层(共5层)2室2厅|78.41平米|南北
奥林匹克商圈 精装修 2楼拎包即住 看房方便,长太巷,75,"13,534元/平",低楼层(共6层)2室1厅|55.42平米|南北
阳光书香苑 地热 精装 拎包入住,阳光书香苑,30,"5,260元/平",低楼层(共7层)1室1厅|57.04平米|南
亿达品质 南北通厅三室户型好 位置好视野好 采光充足,亿达第一郡五期,86,"8,756元/平",高楼层(共11层)3室2厅|98.22平米|南北
好房就等有缘人，户型好，视野好，采光好。,鼎盛朗庭园,60,"6,032元/平",中楼层(共18层)3室2厅|99.48平米|南北
盛滨花园2室1厅 楼层视野好 交通方便,盛滨花园A区,42,"5,880元/平",高楼层(共25层)2室1厅|71.44平米|西
无连廊三室两卫，房子基本没住，看房随时,万达体育新城,136.6,"13,708元/平",高楼层(共34层)3室2厅|99.65平米|南北
恒大公园大道 四室三卫 一线海景无遮挡 诚心出售,恒大公园大道,350,"15,307元/平",低楼层(共37层)4室2厅|228.66平米|南北
岭秀逸城B区 拎包入住 房主诚心出售 置换 看房方便,德泰岭秀逸城B区,109,"9,221元/平",中楼层(共34层)2室2厅|118.22平米|南北
远洲国际城一期 2室1厅 南 北,远洲国际城一期,69.8,"8,904元/平",低楼层(共6层)2室1厅|78.4平米|南北
急售龙祥新家园 位置好 步梯中间楼层 室内保持好,龙祥新家园,74,"8,035元/平",中楼层(共7层)2室2厅|92.1平米|南北
南沙 台山 南北向 位置好 非顶楼 无坡,南沙,23,"6,909元/平",高楼层(共7层)1室1厅|33.29平米|南北
位置好交通方便身处商圈户型好视野好,宏爱巷,37,"9,207元/平",中楼层(共16层)2室0厅|40.19平米|南
南北通厅户型，简单装修，保持很好。,峰景西海岸,62,"7,353元/平",高楼层(共18层)2室1厅|84.33平米|南北
桃山小户型，坡小位置好，低楼层，配套齐全。,桃山小区,47,"8,706元/平",低楼层(共7层)2室1厅|53.99平米|西北
精装修未住 中高楼层 多层洋房 全天采光,保利天禧三期海纳,265,"27,610元/平",中楼层(共9层)3室2厅|95.98平米|南北
：近春柳车站，低楼层，两室户型，近市场，生活便利,凌山五街,49.8,"10,862元/平",高楼层(共6层)2室1厅|45.85平米|南
英俊年华，三室两厅，房主急售。,英郡年华,68,"7,626元/平",中楼层(共5层)2室1厅|89.18平米|南北
富力大两室，户型方正，北边没有连廊，光线好,富力东堤湾畔,62,"7,066元/平",低楼层(共27层)2室2厅|87.75平米|南北
大华六期  方正小两室 正看小区花园 无遮挡 辽师9年,大华锦绣华城六期,115,"16,742元/平",低楼层(共30层)2室1厅|68.69平米|南
远洲国际城三期 3室2厅 南 北,远洲国际城三期,98,"7,550元/平",中楼层(共6层)3室2厅|129.81平米|南北
房子距79  地铁口150米 中山公园步行一会儿就到,至诚小区,109,"26,171元/平",高楼层(共7层)1室0厅|41.65平米|南北
房子南北通透 楼层好 封闭小区 采光充足,金宸联郡,56.5,"6,860元/平",中楼层(共11层)2室1厅|82.37平米|南北
南北通透两居室，精装修，采光好视野好，户型方正,中华城,102,"11,679元/平",中楼层(共20层)2室2厅|87.34平米|南北
红梅开七小区 稀有楼层2楼 诚心出售 看房方便,红梅小区,125,"18,180元/平",中楼层(共5层)2室2厅|68.76平米|南北
盛世闲庭 三楼南北向采光好 装修保持好房主诚急售,盛世闲庭,128,"15,514元/平",中楼层(共7层)2室2厅|82.51平米|南北
房主诚心卖房看房提前约，基本都能看价格可议,金湖里,69.5,"7,549元/平",中楼层(共6层)2室1厅|92.07平米|南北
恒大雅苑 小区中间位置 婚房装修 2室1厅,恒大雅苑,101.2,"12,005元/平",中楼层(共31层)2室1厅|84.3平米|南
