名称,总价,单价,地址,信息,标签
东进路上 精装两房 采光视野好 总价低 有车库,61.9万,"7,484元/平",东进华都 -潘黄商圈,2室1厅 | 82.71平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,VR房源
朗地英郡西区3-2-1-1 103.00m² 85 万,85万,"8,363元/平",朗地英郡西区 -富康路商圈,3室2厅 | 101.65平米 | 南 | 精装 | 低楼层(共14层)  | 板楼,VR房源/随时看房
通银红盘 森林公馆毛坯大三房 户型方正 采光好,95.88万,"7,245元/平",通银·森林公馆 -潘黄商圈,3室2厅 | 132.35平米 | 南 | 毛坯 | 中楼层(共28层)  | 塔楼,VR看装修/随时看房
东台碧桂园精装，电梯2房，业主诚意出售,56.6万,"6,441元/平",东台碧桂园 -东台市,2室1厅 | 87.88平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,VR看装修/随时看房
东宝龙 北师大 红星海河湾天铂 一梯一户 精装4房,89.8万,"7,499元/平",红星海河湾天铂 -亭湖商圈,4室2厅 | 119.76平米 | 南 | 精装 | 低楼层(共14层)  | 板楼,VR看装修/随时看房
阳光水岸花园，满五唯一带车库车位，中间楼层无遮挡,120万,"9,289元/平",阳光水岸花园 -富康路商圈,3室2厅 | 129.19平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,VR看装修
绿地天成苑，结构好楼层 好采光佳 交通便利，精装,68.8万,"6,749元/平",绿地天成苑 -亭湖商圈,3室2厅 | 101.95平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,VR看装修
户型方正 采光无遮挡，交通方便，有钥匙,195万,"11,862元/平",凤麟府 -麦德龙商圈,4室2厅 | 164.4平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,VR看装修/随时看房
向阳水岸 2室2厅 南,53.8万,"7,174元/平",向阳水岸 -崇礼路商圈,2室2厅 | 75平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,VR看装修/随时看房
好赞房1楼54万市区海韵家园含个大车库看中可谈,54万,"5,515元/平",海韵家园 -先锋商圈,3室2厅 | 97.93平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,VR看装修
恒大名都 2室2厅 南,66.8万,"7,376元/平",恒大名都 -麦德龙商圈,2室2厅 | 90.57平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,VR看装修
车库戴庄路配套齐新弄里小高层诚心出售 冲新上房 冲,83.5万,"7,932元/平",香苑小区 -中南商圈,3室2厅 | 105.28平米 | 南 | 简装 | 中楼层(共12层)  | 板楼,VR看装修/随时看房
市区稀有3房户型 双阳台，配套设施齐全，出行方便,65万,"6,956元/平",长坝锦海家园 -双元西路商圈,3室2厅 | 93.45平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,VR看装修/随时看房
金水湾电梯小洋房！158平大平层精装拎包入住,145.8万,"9,228元/平",金水湾 -东台市,3室2厅 | 158平米 | 南 北 | 精装 | 高楼层(共12层)  | 板塔结合,VR看装修
招商场旁 文泽府邸 中间楼层  有车库,128万,"10,542元/平",文泽府邸 -招商场商圈,3室2厅 | 121.42平米 | 南 | 毛坯 | 中楼层(共21层)  | 暂无数据,VR看装修/随时看房
精装两房 中间楼层 有车库 诚意出售,62万,"7,079元/平",向阳水岸 -崇礼路商圈,2室2厅 | 87.59平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,VR看装修
碧桂园天境 楼层好 采光好 房东诚心出售,320万,"16,193元/平",碧桂园天境 -五星车站商圈,4室2厅 | 197.62平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,VR看装修/随时看房
文璟臻苑 精装 好楼层 南北通风 采光充足 看房方便,139.8万,"11,949元/平",文璟臻苑 -富康路商圈,3室2厅 | 117平米 | 南 | 精装 | 中楼层(共10层)  | 暂无数据,VR看装修/随时看房
毓龙公寓 3室 有车库 看房随时,59万,"6,331元/平",毓龙公寓(亭湖区) -新四军纪念馆商圈,3室1厅 | 93.2平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,VR看装修/随时看房
高铁站 青年高架 悦达新村低总价四房 楼层好带车库,62万,"6,053元/平",悦达新村 -五星车站商圈,4室1厅 | 102.44平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,VR房源
楼层好，多层的得房率，精装修，带车库，拎包入住,122.8万,"8,588元/平",阳光水岸花园 -富康路商圈,4室2厅 | 143平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,VR房源
紫云府 3室1厅 南,108万,"10,955元/平",紫云府 -东台市,3室1厅 | 98.59平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,VR看装修/随时看房
瑞尔花园，精装修，拎包即可入住,75万,"8,908元/平",瑞尔花园 -聚龙湖商圈,2室2厅 | 84.2平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,VR看装修
中南商圈 串场河畔 锦盛豪庭南区 飞机户型双阳台毛坯,155万,"11,009元/平",锦盛豪庭·南郡 -中南商圈,4室2厅 | 140.8平米 | 南 | 毛坯 | 中楼层(共30层)  | 暂无数据,VR看装修/随时看房
景山旁德惠尚书房锦苑精装三房 东边户 双阳台,122万,"11,325元/平",德惠尚书房锦苑 -亭湖高中商圈,3室2厅 | 107.73平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,VR看装修/随时看房
东景山旁 海铂花园 92平毛坯三房中间楼层三开间朝南,73万,"7,970元/平",海铂花园 -亭湖高中商圈,3室2厅 | 91.6平米 | 南 | 毛坯 | 中楼层(共14层)  | 暂无数据,VR看装修
城南 恒大帝景 三室两厅两卫 好楼层,110万,"9,040元/平",恒大帝景 -聚龙湖商圈,3室2厅 | 121.69平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,VR看装修
城南聚龙湖商圈包税凤凰汇复式精装2房公寓，拎包入住,48万,"8,908元/平",凤凰汇 -聚龙湖商圈,2室2厅 | 53.89平米 | 东南 | 精装 | 中楼层(共16层)  | 塔楼,VR房源/随时看房
城南次新小区，采光无遮挡，三房两卫，随时看,115万,"8,945元/平",通银·天御 -中南商圈,3室2厅 | 128.57平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,VR看装修/随时看房
城中芯 解放路 城中壹号公馆 毛坯 四开朝南 视野佳,208万,"14,150元/平",中建城中壹号公馆 -永基广场商圈,4室2厅 | 147平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,VR看装修/随时看房
户型方正 采光无遮挡，交通方便，有钥匙,195万,"11,862元/平",凤麟府 -麦德龙商圈,4室2厅 | 164.4平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,VR看装修/随时看房
海富花园 视野采光很好 有钥匙 随时看房,129.8万,"14,192元/平",中海海富花园 -缤纷亚洲商圈,3室2厅 | 91.46平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,VR看装修/随时看房
该房为高档小区绿化覆盖率高 设施齐全生活很方便,139.8万,"13,023元/平",吾悦和府北区 -东台市,3室1厅 | 107.35平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,VR房源/随时看房
绿地天成苑，结构好楼层 好采光佳 交通便利，精装,68.8万,"6,749元/平",绿地天成苑 -亭湖商圈,3室2厅 | 101.95平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,VR看装修
好赞房1楼54万市区海韵家园含个大车库看中可谈,54万,"5,515元/平",海韵家园 -先锋商圈,3室2厅 | 97.93平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,VR看装修
市区稀有3房户型 双阳台，配套设施齐全，出行方便,65万,"6,956元/平",长坝锦海家园 -双元西路商圈,3室2厅 | 93.45平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,VR看装修/随时看房
恒大名都 2室2厅 南,66.8万,"7,376元/平",恒大名都 -麦德龙商圈,2室2厅 | 90.57平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,VR看装修
车库戴庄路配套齐新弄里小高层诚心出售 冲新上房 冲,83.5万,"7,932元/平",香苑小区 -中南商圈,3室2厅 | 105.28平米 | 南 | 简装 | 中楼层(共12层)  | 板楼,VR看装修/随时看房
万达旁 圆梦小区 精装修 楼层好/采光充足/有车库,47.5万,"5,998元/平",圆梦小区 -万达商圈,2室2厅 | 79.2平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,VR看装修/随时看房
拎包入住，配套设施齐全。。。。。。。。,69万,"7,841元/平",清华学仕园 -麦德龙商圈,3室2厅 | 88平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,VR看装修
妇幼保健院园中园菜场旁东润华庭3室精装,56万,"6,164元/平",东润华庭 -亭湖高中商圈,3室2厅 | 90.86平米 | 南 | 精装 | 低楼层(共14层)  | 板楼,VR看装修/随时看房
温馨小屋 创意空间 简约生活 从这里开始,92.8万,"6,978元/平",紫御天铂 -白马商圈,4室1厅 | 133平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,VR看装修/随时看房
在水一方旁，毛坯3房，采光充足，业主诚心出售。,100万,"9,358元/平",首府壹号 -富康路商圈,3室1厅 | 106.87平米 | 南 | 毛坯 | 高楼层(共15层)  | 板楼,VR看装修/随时看房
一梯一户 冠亨名城三房  中楼层，入户花园,105万,"8,340元/平",冠亨名城 -麦德龙商圈,3室2厅 | 125.9平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,VR看装修
美棠水岸，地理位置优越，环境优美,99.8万,"9,505元/平",城投美棠水岸 -东台市,3室2厅 | 105平米 | 东 | 毛坯 | 高楼层(共26层)  | 暂无数据,VR看装修/随时看房
全新小区，布局合理 配套设施齐全，出门即可上高架,72万,"7,742元/平",长坝锦海家园 -双元西路商圈,3室2厅 | 93平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,VR看装修/随时看房
吾悦南区，3室2卫，精装修没住过，随时可以看房,140.8万,"10,968元/平",吾悦和府南区 -东台市,3室2厅 | 128.38平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,VR看装修
此房采光充足，视野开阔，环境优美，绿化面积大。,149万,"10,505元/平",中梁国宾府 -东台市,4室2厅 | 141.85平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,VR房源/随时看房
小区前排，带车库，看房方便，诚心出售,126万,"9,198元/平",水绿名苑 -聚龙湖商圈,3室2厅 | 137平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,VR看装修/随时看房
金水湾电梯小洋房！158平大平层精装拎包入住,145.8万,"9,228元/平",金水湾 -东台市,3室2厅 | 158平米 | 南 北 | 精装 | 高楼层(共12层)  | 板塔结合,VR看装修
聚龙湖 金色水岸 满两年  毛坯三房 有车库,140万,"10,145元/平",金色水岸 -聚龙湖商圈,3室1厅 | 138平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,VR房源/随时看房
吾悦南区好楼层，品牌硬装拎包入住,119.8万,"11,088元/平",吾悦和府南区 -东台市,3室1厅 | 108.05平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,VR看装修/随时看房
此房满二唯一，精装修，拎包入住。视野开阔，采光充足,148万,"10,336元/平",时代豪庭 -东台市,4室2厅 | 143.19平米 | 南 北 | 精装 | 高楼层(共26层)  | 暂无数据,VR看装修/随时看房
招商场旁 文泽府邸 中间楼层  有车库,128万,"10,542元/平",文泽府邸 -招商场商圈,3室2厅 | 121.42平米 | 南 | 毛坯 | 中楼层(共21层)  | 暂无数据,VR看装修/随时看房
精装两房 中间楼层 有车库 诚意出售,62万,"7,079元/平",向阳水岸 -崇礼路商圈,2室2厅 | 87.59平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,VR看装修
通银红盘 森林公馆毛坯大三房 户型方正 采光好,95.88万,"7,245元/平",通银·森林公馆 -潘黄商圈,3室2厅 | 132.35平米 | 南 | 毛坯 | 中楼层(共28层)  | 塔楼,VR看装修/随时看房
东台碧桂园精装，电梯2房，业主诚意出售,56.6万,"6,441元/平",东台碧桂园 -东台市,2室1厅 | 87.88平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,VR看装修/随时看房
东宝龙 北师大 红星海河湾天铂 一梯一户 精装4房,89.8万,"7,499元/平",红星海河湾天铂 -亭湖商圈,4室2厅 | 119.76平米 | 南 | 精装 | 低楼层(共14层)  | 板楼,VR看装修/随时看房
阳光水岸花园，满五唯一带车库车位，中间楼层无遮挡,120万,"9,289元/平",阳光水岸花园 -富康路商圈,3室2厅 | 129.19平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,VR看装修
碧桂园珺悦府 3室2厅 南,130万,"11,212元/平",碧桂园珺悦府 -亭湖高中商圈,3室2厅 | 115.95平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,VR看装修/随时看房
天澜湾小高层精装三房户型好采光好得房率高,108万,"8,572元/平",天澜湾 -麦德龙商圈,3室2厅 | 126平米 | 南 | 精装 | 中楼层(共15层)  | 板塔结合,VR看装修
德惠尚书房锦苑洋房 精装修，中间楼层，户型方正,125万,"12,186元/平",德惠尚书房锦苑 -亭湖高中商圈,3室2厅 | 102.58平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,VR房源/随时看房
品质小区 保利紫荆公馆 毛坯四房采光好 视野开阔,139.8万,"11,294元/平",保利紫荆公馆 -亭湖高中商圈,4室2厅 | 123.79平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,VR房源/随时看房
香城世家 三开间朝南，楼层好 总价低,90.8万,"9,784元/平",香城世家 -麦德龙商圈,3室2厅 | 92.81平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,VR房源/随时看房
阳光不挡，采光充足，视野开阔，诚心出售，交通便捷,74万,"5,874元/平",通新新村 -东台市,3室2厅 | 126平米 | 南 | 精装 | 高楼层(共17层)  | 塔楼,VR看装修/随时看房
聚龙湖畔 瑞尔花园 精装三房 看房方便,132万,"9,982元/平",瑞尔花园 -聚龙湖商圈,3室2厅 | 132.25平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,VR看装修
品质小区，楼层好，采光好，有车位,149.8万,"11,704元/平",中海万锦公馆 -中南商圈,4室2厅 | 128平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,VR房源/随时看房
采光充足，视野开阔，诚心出售，交通便捷,90万,"7,573元/平",天樾府 -东台市,3室2厅 | 118.85平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,VR看装修/随时看房
城南 新弄里旁 精装四房 中上楼层,139.8万,"10,591元/平",通达国宾府 -中南商圈,4室1厅 | 132平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,VR看装修/随时看房
龙晶花园 3室精装修 楼层好 阳光无挡,99.8万,"8,697元/平",龙晶河滨花园 -东台市,3室2厅 | 114.76平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,VR看装修/随时看房
城东解放路景山 东润华庭 精装现房 采光充足 视野开阔,68万,"7,344元/平",东润华庭 -亭湖高中商圈,3室2厅 | 92.6平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,VR看装修
一中旁 天澜湾 精装两房 诚心出售 看中价格可谈,68万,"7,870元/平",天澜湾 -麦德龙商圈,2室2厅 | 86.41平米 | 南 | 简装 | 高楼层(共15层)  | 板楼,VR房源
多层假二楼 采光无忧得房率高 靠幼儿园 适合养老陪读,79.5万,"8,363元/平",华厦绿城 -聚龙湖商圈,3室2厅 | 95.07平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,VR看装修/随时看房
出售万水清华三室精装修，楼层好，满五唯一税费低,179万,"12,466元/平",万水清华 -东台市,3室2厅 | 143.6平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,VR看装修/随时看房
凤鸣缇香  繁华地段  毛坯 可自由发挥装修,105万,"8,937元/平",凤鸣缇香 -聚龙湖商圈,3室2厅 | 117.49平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,VR看装修/随时看房
均和华府 4室2厅 南,96万,"7,500元/平",均和华府 -盐城会展中心商圈,4室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,VR看装修/随时看房
中海海富花园 新楼盘 电梯房，朝南采光好,98万,"13,797元/平",中海海富花园 -缤纷亚洲商圈,2室1厅 | 71.03平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 暂无数据,VR看装修/随时看房
公园旁，离吾悦100米，美棠水岸，3房2厅1厨1卫,98.8万,"9,369元/平",城投美棠水岸 -东台市,3室1厅 | 105.46平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,VR看装修/随时看房
城西南钱江绿洲精装三房，房东诚心出售,93万,"8,202元/平",钱江绿洲 -崇礼路商圈,3室2厅 | 113.39平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,VR看装修/随时看房
城东高架旁，户型方正，采光很好，小区环境好,113万,"11,523元/平",德惠尚书房西区 -亭湖高中商圈,3室2厅 | 98.07平米 | 南 | 精装 | 中楼层(共14层)  | 板塔结合,VR看装修
城西南麦德龙商圈神州路恒大名都精装2房拎包入住,69.8万,"7,282元/平",恒大名都 -麦德龙商圈,2室2厅 | 95.86平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,VR看装修
中南商圈，紧靠康居路南校区，楼层好，采光好有车位。,122.6万,"12,821元/平",中海万锦北园 -中南商圈,3室2厅 | 95.63平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,VR看装修/随时看房
此房飞机户型，采光充足，精装修，南北双阳台,120万,"10,257元/平",碧桂园铂悦澜庭 -盐城会展中心商圈,3室2厅 | 117平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,VR看装修/随时看房
柏润花园 南海未来城旁 视野好 采光充足 拎包入住,49.8万,"6,881元/平",柏润花园 -人民公园商圈,2室2厅 | 72.38平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,VR看装修/随时看房
凤麟府 小区前排 无遮挡 视野开阔 采光佳,106.8万,"10,832元/平",凤麟府 -麦德龙商圈,3室2厅 | 98.6平米 | 南 | 简装 | 高楼层(共27层)  | 暂无数据,VR看装修/随时看房
城南中南城  新弄里旁中南五期经典精装小三房,86万,"10,488元/平",中南世纪城五期 -中南商圈,3室2厅 | 82平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,VR看装修/随时看房
前排电梯阳光好房 次顶楼 有车库 户型敞亮通透,112.5万,"9,316元/平",华厦绿城 -聚龙湖商圈,3室2厅 | 120.77平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,VR看装修
抢 东景山旁 精装拎包入住 总价低首付少 景山名门雅居,66.8万,"9,077元/平",景山名门雅居 -亭湖高中商圈,2室2厅 | 73.6平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,VR看装修/随时看房
长坝锦海家园采光充足视野好三房朝南110平诚心出售,72万,"6,529元/平",长坝锦海家园 -双元西路商圈,3室2厅 | 110.29平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,VR看装修/随时看房
万达旁 中间楼层 全天采光 装修清爽，拎包即住,89.8万,"8,057元/平",西城逸品 -潘黄商圈,3室2厅 | 111.46平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,VR看装修/随时看房
新弄里 锦盛豪庭北苑 精装三房 位置采光好 拎包即住,99万,"7,910元/平",锦盛豪庭·北苑 -中南商圈,3室2厅 | 125.17平米 | 南 | 简装 | 低楼层(共31层)  | 塔楼,VR看装修
北师大旁 馥桂名居   精装 采光足 设施配套全,95万,"7,873元/平",馥桂名居 -亭湖商圈,3室2厅 | 120.68平米 | 南 | 精装 | 低楼层(共15层)  | 塔楼,VR看装修
怡和园幸福里 2室2厅 南,65万,"8,796元/平",怡和园幸福里 -崇礼路商圈,2室2厅 | 73.9平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,VR看装修
老城区 串场河旁 禾成花园 电梯2房 毛坯,46.8万,"6,806元/平",禾成花园 -永基广场商圈,2室1厅 | 68.77平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,VR看装修/随时看房
城东宝龙旁红星海河湾，精装四房，楼层好采光好。,99.8万,"8,387元/平",红星海河湾天铂 -亭湖商圈,4室2厅 | 119平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,VR看装修
高新区 西城逸景 精装拎包即住,58万,"6,312元/平",西城逸景 -盐都商圈,2室2厅 | 91.9平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,VR看装修/随时看房
东关巷2号三房精装92.27平58.8万有钥匙有车库,52万,"5,636元/平",东关巷2号 -海华商圈,3室1厅 | 92.27平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,VR房源/随时看房
金贸花园大二房高楼层拎包住88.52平49.8万,42.8万,"4,836元/平",金贸花园 -海华商圈,2室2厅 | 88.52平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,VR看装修/随时看房
品质小区，楼层好，采光好，有车位,149.8万,"11,704元/平",中海万锦公馆 -中南商圈,4室2厅 | 128平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,VR房源/随时看房
品质小区 保利紫荆公馆 毛坯四房采光好 视野开阔,139.8万,"11,294元/平",保利紫荆公馆 -亭湖高中商圈,4室2厅 | 123.79平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,VR房源/随时看房
中南精装三房，户型方正，南北通风 有车库,110.8万,"10,660元/平",中南世纪城景城二区 -中南商圈,3室2厅 | 103.94平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,VR看装修
城发瑞府四室边户毛坯房东诚心卖，出让金房东出。,99.8万,"7,072元/平",城发瑞府 -东台市,4室2厅 | 141.12平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,VR看装修/随时看房
阳光不挡，采光充足，视野开阔，诚心出售，交通便捷,74万,"5,874元/平",通新新村 -东台市,3室2厅 | 126平米 | 南 | 精装 | 高楼层(共17层)  | 塔楼,VR看装修/随时看房
中海九樾 毛坯三房 好楼层 含车位,208万,"20,393元/平",中海九樾 -缤纷亚洲商圈,3室2厅 | 102平米 | 南 | 毛坯 | 低楼层(共27层)  | 塔楼,VR看装修/随时看房
新弄里旁 小高层 四开间朝南 双阳台 全天采光 有车位,178.5万,"12,935元/平",中南世纪城·荣城 -中南商圈,4室2厅 | 138平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,VR看装修
城南 新弄里旁 三开间朝南户型 小高层 得房率高,109.8万,"12,634元/平",中南世纪城6期悦城 -中南商圈,3室2厅 | 86.91平米 | 南 | 精装 | 20层  | 板楼,VR看装修
高新区 朗达壹号院 毛坯三房 户型方正,76.8万,"6,566元/平",朗达壹号院 -盐都商圈,3室2厅 | 116.98平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,VR看装修/随时看房
好楼层  毛坯房 可以按照自己的装修风格装修,69.8万,"6,263元/平",熙悦佳园 -东台市,3室2厅 | 111.46平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,VR看装修/随时看房
中南五期精装修 拎包即住 采光充足 交通方便 满五唯一,106.8万,"9,327元/平",中南世纪城五期 -中南商圈,4室2厅 | 114.51平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,VR房源/随时看房
御景湾 全新精装3房 中层全天采光 随时看房,85万,"8,141元/平",御景湾西园 -麦德龙商圈,3室1厅 | 104.42平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,VR看装修
好赞好房锦海家园8楼仅48.6万新房格局好毛坯随意装修,48.6万,"6,788元/平",长坝锦海家园 -双元西路商圈,2室1厅 | 71.6平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,VR看装修/随时看房
聚龙湖畔 瑞尔花园 精装三房 看房方便,132万,"9,982元/平",瑞尔花园 -聚龙湖商圈,3室2厅 | 132.25平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,VR看装修
新龙广场 优步水岸 精装领包入住帝王楼层采光好 满二,102.8万,"8,886元/平",金辉优步水岸 -中南商圈,4室2厅 | 115.69平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,VR看装修/随时看房
凤麟府 小区前排 无遮挡 视野开阔 采光佳,106.8万,"10,832元/平",凤麟府 -麦德龙商圈,3室2厅 | 98.6平米 | 南 | 简装 | 高楼层(共27层)  | 暂无数据,VR看装修/随时看房
红星海河湾天铂 4室2厅2卫 110万,108万,"9,019元/平",红星海河湾天铂 -亭湖商圈,4室2厅 | 119.76平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,VR看装修/随时看房
文泽府邸三期高品质看房子方便含车库,118万,"9,712元/平",文泽府邸 -招商场商圈,3室2厅 | 121.51平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 暂无数据,VR房源/随时看房
公园旁，离吾悦100米，美棠水岸，3房2厅1厨1卫,98.8万,"9,369元/平",城投美棠水岸 -东台市,3室1厅 | 105.46平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,VR看装修/随时看房
龙晶花园 3室精装修 楼层好 阳光无挡,99.8万,"8,697元/平",龙晶河滨花园 -东台市,3室2厅 | 114.76平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,VR看装修/随时看房
凤鸣缇香  繁华地段  毛坯 可自由发挥装修,105万,"8,937元/平",凤鸣缇香 -聚龙湖商圈,3室2厅 | 117.49平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,VR看装修/随时看房
一梯一户，毛坯3房，飞机户型，双阳台，视野采光好,123万,"10,696元/平",中船·翠湖名邸 -盐城会展中心商圈,3室2厅 | 115平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 板塔结合,VR看装修/随时看房
港湾明珠 有车库 楼层好 采光充足 交通便捷,69.8万,"7,753元/平",港湾明珠 -张庄商圈,3室2厅 | 90.03平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,VR看装修
聚龙湖商圈 小高层边户 有车库双叶家具 中上好楼层,128万,"10,623元/平",瑞尔花园 -聚龙湖商圈,3室2厅 | 120.5平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,VR看装修
东台悦达悦棠湾118平3室2厅2卫，前排阳光不错楼层好,78.6万,"6,689元/平",东台悦达悦棠湾 -东台市,3室2厅 | 117.51平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,VR看装修/随时看房
精装修 一梯一户，采光好清爽舒适，品牌家居,186万,"12,558元/平",中南世纪城康城三期 -中南商圈,5室2厅 | 148.12平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,VR看装修/随时看房
恒大龙庭，3室2卫，楼间距大。,77.5万,"6,249元/平",东台恒大翡翠龙庭 -东台市,3室2厅 | 124.03平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,VR看装修/随时看房
慧学铭苑，一梯一户，阳光无挡，拧包入住，诚意出售,99.8万,"9,411元/平",慧学铭苑 -东台市,3室2厅 | 106.05平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,VR看装修
百安居新苑 2室1厅 南,39.8万,"4,280元/平",百安居新苑 -白马商圈,2室1厅 | 93平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,VR房源
凤樾府  新中式小区   户型好楼层佳,102.2万,"8,766元/平",盐城·凤樾府 -亭湖商圈,4室2厅 | 116.59平米 | 南 | 毛坯 | 中楼层(共10层)  | 板楼,VR看装修/随时看房
城东宝龙旁  红星海河湾  三房双卫 低总价 刚需上车,79万,"8,091元/平",红星海河湾天铂 -亭湖商圈,3室2厅 | 97.64平米 | 南 | 精装 | 低楼层(共13层)  | 板楼,VR看装修/随时看房
吾悦前排洋房飞机户型三房！全屋尚品定制，有车位,188万,"13,443元/平",吾悦和府北区 -东台市,3室2厅 | 139.86平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,VR看装修
东关巷2号三房精装92.27平58.8万有钥匙有车库,52万,"5,636元/平",东关巷2号 -海华商圈,3室1厅 | 92.27平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,VR房源/随时看房
