园区名称,省份,城市,地区,详细地址,大约面积(亩),企业数
赣州智造谷电子信息产业园,江西省,赣州市,章贡区,赣州市章贡区黄金大道160号,209,44
赣州经济技术开发区华昌科技园,江西省,赣州市,章贡区,赣州市章贡区斋公坑华昌路东北,186,37
香江科技园(赣州开发区高新技术产业孵化基地),江西省,赣州市,章贡区,赣州市章贡区香江大道168号,159,240
华东国际商贸物流城,江西省,赣州市,章贡区,赣州市章贡区天龙山1号,159,247
赣州综合商贸物流园,江西省,赣州市,章贡区,赣州市章贡区潭东镇潭东二路,155,155
顺丰丰泰产业园·赣州,江西省,赣州市,章贡区,赣州市章贡区岗边大道旁,155,1
赣州国际企业中心总部园区,江西省,赣州市,章贡区,赣州市章贡区华坚北路与香江大道交汇处,146,5013
江奥科技园,江西省,赣州市,章贡区,湖边镇,140,-
赣州万吉智慧供应链物流园,江西省,赣州市,章贡区,"赣州市章贡区章贡区经开区华昌路东北侧,梨园路西北侧",129,11
赣州闽赣建材产业园,江西省,赣州市,章贡区,赣州市章贡区湖边镇凤凰路128号,125,-
赣州飞天电商园,江西省,赣州市,章贡区,沙河大道与323国道交汇处,122,288
赣州香港工业园(金岭科技园),江西省,赣州市,章贡区,赣州市章贡区赣州经济技术开发区工业四路,116,124
启迪(赣州)科技城项目一期产业园,江西省,赣州市,章贡区,赣南大道与创新大道交叉口东360米,115,71
恒科产业园,江西省,赣州市,章贡区,赣州市章贡区湖边镇赣通大道888号宜居小区对面,114,72
飞天谷·跨境电商产业园,江西省,赣州市,章贡区,综合保税区振兴大道以南创业北路以东B-7-3地块,110,-
华东城现代综合物流园,江西省,赣州市,章贡区,赣州市章贡区天龙山路赣州农批华东城南侧约210米,108,19
赣州市章贡区小微企业创业园,江西省,赣州市,章贡区,赣州市章贡区站东大道12号,107,243
赣州中联环保电镀工业园,江西省,赣州市,章贡区,赣州市章贡区冶金路18,107,3
传化·赣州腾宜达金属物流园,江西省,赣州市,章贡区,经济技术开发区岗边大道88号,106,9
涌泉科技园,江西省,赣州市,章贡区,赣州市章贡区赣州经济技术开发区宋家坑,103,9
秋山科技园,江西省,赣州市,章贡区,赣州市章贡区赣州经济技术开发区涌泉大道西北,102,11
江西轰天炮光电科技产业园,江西省,赣州市,章贡区,赣州市章贡区章贡区经济技术开发区凤凰路118号,98,-
华坚双创园(赣州华坚国际鞋城),江西省,赣州市,章贡区,赣州市章贡区黄金岭街道华坚商业街,92,14
章贡区赣商回归创业园,江西省,赣州市,章贡区,赣州市章贡区冶金南路,91,2
江西红土地物流集团有限公司(红土地物流园),江西省,赣州市,章贡区,赣州市章贡区梅林大道与江环路交叉口南100米,87,22
泉岗科技园,江西省,赣州市,章贡区,赣州市章贡区湖边镇涌泉村,84,-
赣州(章贡)千人计划人才产业园,江西省,赣州市,章贡区,沙河镇沙河口路,76,81
巨亿·赣南电商城东区,江西省,赣州市,章贡区,赣州市章贡区赣南大道九方巨亿广场东侧,73,44
江山金属产业园,江西省,赣州市,章贡区,赣州市章贡区采蝶路与金岭路交叉口西南150米,69,48
江西嘉德物联科技产业园,江西省,赣州市,章贡区,香港工业园北区赣通大道114号,69,5
赣州总部经济区,江西省,赣州市,章贡区,赣州市章贡区水南镇章贡新区兴国路65号,65,311
宋城一号文化创意园,江西省,赣州市,章贡区,赣州市章贡区文明大道8号,60,28
章贡区软件产业园,江西省,赣州市,章贡区,沙河大道与人和路中山北路西北20米,59,157
赣坊1969文化创意产业园,江西省,赣州市,章贡区,赣州市章贡区红旗大道63号,59,46
核工业二六四大队产业园,江西省,赣州市,章贡区,赣州市章贡区赣州经济技术开发区赣通大道123号,58,3
云创智谷,江西省,赣州市,章贡区,潭东镇蓉江新区管委会后面,50,214
赣州华东农副产品物流园,江西省,赣州市,章贡区,赣州市章贡区S4503赣州绕城高速入口西150米,47,2
赣州文化创意园,江西省,赣州市,章贡区,华坚南大道与金坪东路交叉口西140米,30,8
红五星文创园,江西省,赣州市,章贡区,赣州市章贡区黄金岭街道金岭大道6号(原电池厂),30,75
赣州综合保税区,江西省,赣州市,章贡区,赣州市章贡区飞翔路附近,30,149
厚鑫物流园,江西省,赣州市,章贡区,赣州市章贡区蟠龙镇迎宾大道晶环稀土东150米,25,4
纽纽科技人工智能产业园,江西省,赣州市,章贡区,沙河工业园沙河路口16号,25,15
猪八戒赣州园区(西城科技园),江西省,赣州市,章贡区,赣州市章贡区香江大道169号猪八戒赣州园区,24,455
赣州VR数字经济产业园,江西省,赣州市,章贡区,合欢路516双创产业园1栋3楼,23,257
赣州蓉江新区管委会,江西省,赣州市,章贡区,潭东镇创业路6号,23,35
天羔创新园,江西省,赣州市,章贡区,赣州市章贡区沙河镇章贡高新区如日山路8号,20,23
启迪K栈双创孵化园,江西省,赣州市,章贡区,赣州市章贡区景明路516双创产业园A3栋,13,3
江西赣州人力资源服务产业园,江西省,赣州市,章贡区,赣州市章贡区工业三路与金岭路交叉口西150米,13,50
康茂城文化创意产业园,江西省,赣州市,章贡区,赣州市章贡区金岭路与金岭西大道交叉口西南方向30米,10,1
赣发智能装备产业园,江西省,赣州市,章贡区,和谐大道与赣虔大道交叉口西南420米,-,14
中国赣州数字金融产业园,江西省,赣州市,章贡区,社前路与丘坑路交叉口西300米,-,-
江西泰强科技园,江西省,赣州市,章贡区,赣州经济技术开发区宋家坑涌泉C8栋,-,-
百美达科技园,江西省,赣州市,章贡区,纬一路与民乐路和平路东120米,-,-
赣州市章贡区软件产业孵化园,江西省,赣州市,章贡区,章贡高新区人和路9号,-,68
赣州毅德电子商务创业园,江西省,赣州市,章贡区,赣州市章贡区G105(京珠线),-,-
赣州数字经济创新中心,江西省,赣州市,章贡区,赣州市章贡区江环路,-,33
福雷斯大数据产业基地,江西省,赣州市,章贡区,赣州市章贡区螺田路3号,-,17
赣州市章贡区中小企业创业基地,江西省,赣州市,章贡区,赣州市章贡区站东大道12号,-,22
赣南师范大学科技学院大学生创业园,江西省,赣州市,章贡区,红旗大道61号,-,-
赣州经开区赣商回归创业园,江西省,赣州市,章贡区,赣州市章贡区王南路,-,1
江西俊科电子产业园(建设中),江西省,赣州市,章贡区,赣州市章贡区黄金大道西北侧,-,-
恒科数字经济产业园,江西省,赣州市,章贡区,湖边镇赣通大道888号宜居小区对面,-,2
赣州数字经济产业园,江西省,赣州市,章贡区,赣州市章贡区站东大道12号西南60米,-,29
赣州华坚电商产业园,江西省,赣州市,章贡区,赣州市章贡区赣州经济技术开发区迎宾大道北侧,-,2
赣州开发区电子产业园,江西省,赣州市,章贡区,赣州市章贡区黄金北大道与凤凰路交叉路口北侧,-,-
赣州北大青鸟IT创想园,江西省,赣州市,章贡区,赣州市章贡区湖边镇赣通大道98号,-,6
赣州蓉江新区高校园区,江西省,赣州市,章贡区,赣州市章贡区赣南大道辅路,-,29
赣州农产品国际物流园,江西省,赣州市,章贡区,赣州市章贡区水西镇石桥坑,-,36
江西章贡高新技术产业园区,江西省,赣州市,章贡区,赣州市章贡区水西镇一零五国道水西工业园路口斜对面正北方向110米,-,1
水西园区,江西省,赣州市,章贡区,赣州市章贡区水西镇冶金大道1号,-,1
赣州经济技术开发区,江西省,赣州市,章贡区,赣州市章贡区金兰路与金叶路交汇处西150米,-,22
鼎立物流园,江西省,赣州市,章贡区,赣州市章贡区潭口镇黄金医院对面,-,4
赣州北斗产业园,江西省,赣州市,章贡区,赣州市章贡区345县道北150米,-,-
赣州新能源汽车科技城,江西省,赣州市,南康区,旭日大道与章潭路交叉口东南240米,3614,14
江西南康工业园龙岭东区,江西省,赣州市,南康区,赣州市南康区杜樟段与323国道交汇处北100米,818,39
赣州国际陆港,江西省,赣州市,南康区,赣州港4号地块,751,143
金瑞琪智能制造产业园(建设中),江西省,赣州市,南康区,赣州市南康区唐龙大道一旭日大道,700,-
南康家居小镇,江西省,赣州市,南康区,赣州市南康区镜坝镇园全村,582,164
中国·中部国际物流商贸城,江西省,赣州市,南康区,赣州市南康区龙岭镇赣南大道,544,667
江西南康经济开发区龙岭工业园西区,江西省,赣州市,南康区,赣州市南康区杜樟段与323国道交叉口西50米,519,146
臻顺跨境电子商务产业园,江西省,赣州市,南康区,赣州市南康区东山北路,308,289
镜坝镇电商孵化园,江西省,赣州市,南康区,镜坝镇联民村安置点,255,110
镜坝镇返乡创业园,江西省,赣州市,南康区,赣州市南康区林鑫东路与238省道交叉口东50米,250,33
唐江镇大岭家具生产基地,江西省,赣州市,南康区,赣州市南康区359县道与唐平南路交叉口西北侧,240,-
江西龙泰安冷链产业园,江西省,赣州市,南康区,赣州港4号地块,223,16
中意投互联网整屋定制家具产业园,江西省,赣州市,南康区,产业大道,181,3
赣州南康区朱坊洪基工业园,江西省,赣州市,南康区,赣州市南康区朱坊乡胜利村,172,-
臻顺智慧物流园(智道物流园A区),江西省,赣州市,南康区,龙岭镇,145,36
互联网家具产业园,江西省,赣州市,南康区,赣州市南康区东山街道电商大厦互联网家具产业园,144,4
赣州国际港申通物流园,江西省,赣州市,南康区,龙岭镇新屋村申通（赣州港）物流园,134,3
南康红土地物流园,江西省,赣州市,南康区,赣州市南康区龙岭工业园西区,121,12
赣州宝明科技园,江西省,赣州市,南康区,赣州市南康区凤岗镇附近,117,1
出口家具加工中心,江西省,赣州市,南康区,赣州市南康区老虎头,92,13
智造谷,江西省,赣州市,南康区,赣州市南康区龙岭工业园西区,72,159
立德工业园,江西省,赣州市,南康区,赣州市南康区岗边大道,59,-
赣州港电子信息产业园,江西省,赣州市,南康区,江西省赣州市南康区龙岭镇赣州港电子信息产业园江西汇明生态家居科技有限公司,36,11
南康桐梓创业园,江西省,赣州市,南康区,赣州市南康区105国道东100米,29,-
明创产业园,江西省,赣州市,南康区,赣州市南康区龙岭家具产业园,21,3
三晶智能制造产业园(建设中),江西省,赣州市,南康区,城西大道99号,-,-
中国赣州数字科技产业园,江西省,赣州市,南康区,金融中心3号楼,-,-
墨里·望鲸云仓创意园,江西省,赣州市,南康区,泰康西大道与金衡阳大道交叉口东北180米,-,-
南康五马创业园,江西省,赣州市,南康区,赣州市南康区105国道东50米,-,-
田尾创业园,江西省,赣州市,南康区,赣州市南康区镜坝镇连城村,-,4
南康区太窝乡家具生产基地B区,江西省,赣州市,南康区,赣州市南康区238省道东50米,-,2
油田创业园,江西省,赣州市,南康区,赣州市南康区龙回镇油田村,-,-
赣州(粤港澳大湾区)高新技术产业园(建设中),江西省,赣州市,南康区,赣州市南康区城西大道西段北侧(唐江镇),-,-
江西南康经济开发区龙华工业园,江西省,赣州市,南康区,赣州市南康区324省道西50米,-,4
坨圳工业园,江西省,赣州市,南康区,赣州市南康区105国道旁,-,25
南康战略性新兴产业园,江西省,赣州市,南康区,产业大道与357国道交叉口西60米,-,1
南康区新能源汽车产业基地,江西省,赣州市,南康区,赣州市南康区238省道附近,-,1
东山工业区,江西省,赣州市,南康区,赣州市南康区工业五路与迎宾东大道交叉口南50米,-,7
龙回半岭创业园,江西省,赣州市,南康区,赣州市南康区南康区创业园大道,-,-
五金水电材料商行工业园,江西省,赣州市,南康区,赣州市南康区迎宾中大道与金桥路交叉路口西北侧,-,17
亚森家具工业园,江西省,赣州市,南康区,赣州市南康区105国道南100米,-,-
桥口工业园,江西省,赣州市,南康区,赣州市南康区贤女路西50米,-,33
赣州市宇森照明节能科技产业园,江西省,赣州市,南康区,镜坝镇战略性新兴产业园内,-,-
江西邮政(南康)电子商务智慧产业园,江西省,赣州市,南康区,赣州市南康区金城大街65号,-,7
南康家具产业园,江西省,赣州市,南康区,赣州市南康区龙岭镇星驿商务宾馆,-,10
中国赣南脐橙产业园,江西省,赣州市,信丰县,赣州市信丰县安西镇安西小学往北500米,5180,5
中国赣州南部国际物流商贸城,江西省,赣州市,信丰县,赣州市信丰县城南大道,509,458
众恒科技园,江西省,赣州市,信丰县,赣州市信丰县深圳大道,455,8
中信产业园,江西省,赣州市,信丰县,西牛镇,422,15
江西智汇雨科技园,江西省,赣州市,信丰县,赣州市信丰县诚信大道,218,57
信臻5G智能机器人产业园,江西省,赣州市,信丰县,深圳大道与众恒路交叉口西320米,201,-
信丰高新区物流园,江西省,赣州市,信丰县,赣州市信丰县南京大道1号,95,-
宏达产业园,江西省,赣州市,信丰县,工业大道与集友路交叉口北180米,88,1
大塘埠工业小区,江西省,赣州市,信丰县,赣州市信丰县大塘埠镇,61,-
信丰赣南蔬菜配套产业园,江西省,赣州市,信丰县,赣州市信丰县工业园集友路,59,-
江西信丰雷登创业工业园,江西省,赣州市,信丰县,赣州市信丰县工业大道23号,50,4
信丰福昌发工业园,江西省,赣州市,信丰县,赣州市信丰县城北大道,50,8
宝光工业区,江西省,赣州市,信丰县,赣州市信丰县工业大道31号,24,465
小微创业园,江西省,赣州市,信丰县,绿源大道信丰农商银行(工业园支行)东北侧约140米,24,8
中顺工业区,江西省,赣州市,信丰县,工业大道与诚志路交叉口北280米,21,18
58科创园,江西省,赣州市,信丰县,赣州市信丰县G105(迎宾大道北),11,14
钢筋加工区,江西省,赣州市,信丰县,赣州市信丰县农夫路,-,-
君诚光电科技园,江西省,赣州市,信丰县,赣州市信丰县工业三路,-,12
信达中路科技园,江西省,赣州市,信丰县,赣州市信丰县绿源大道,-,57
信达电路科技园,江西省,赣州市,信丰县,赣州市信丰县阳溪路,-,1
信丰5G产业园,江西省,赣州市,信丰县,赣州市信丰县迎宾大道,-,133
信丰第一服装产业园,江西省,赣州市,信丰县,赣州市信丰县工业三路江西信丰雷登工业园东侧约270米,-,2
中国农批信丰中合农产品物流园,江西省,赣州市,信丰县,迎宾大道新交警大队南侧,-,-
大唐工业园,江西省,赣州市,信丰县,赣州市信丰县325省道附近,-,26
信丰电子产业园,江西省,赣州市,信丰县,赣州市信丰县诚信大道与绿源大道交叉口,-,81
橙乡电商,江西省,赣州市,信丰县,赣州市信丰县城北大道,-,13
富高(信丰)电商文创园,江西省,赣州市,信丰县,赣州市信丰县城北大道与迎宾大道交叉口东240米路北,-,1
信达电路科技园办公大楼,江西省,赣州市,信丰县,赣州市信丰县工业园西区产业一路,-,36
深亚科技园,江西省,赣州市,信丰县,赣州市信丰县城北大道与诚信大道交叉口西北100米,-,5
赣南(信丰)脐橙产业基地,江西省,赣州市,信丰县,赣州市信丰县城北大道与105国道交叉口西南50米,-,8
信丰县高新技术产业园区,江西省,赣州市,信丰县,赣州市信丰县诚信大道,-,27
江西省三南粤港澳大湾区合作产业示范园,江西省,赣州市,龙南市,赣州市龙南市G105(京珠线),1915,16
富康工业园,江西省,赣州市,龙南市,赣州市龙南市富康大道,188,179
中国赣州跨境电子商务综合试验区,江西省,赣州市,龙南市,赣州市龙南市新圳大道与骏亚大道交叉口东约180米,170,38
新灵倍康石斛健康产业园,江西省,赣州市,龙南市,赣州市龙南市G105(京珠线),168,-
瑞兴龙智能终端产业园,江西省,赣州市,龙南市,赣州市龙南市东流坑大道,139,2
龙南市工业区,江西省,赣州市,龙南市,赣州市龙南市龙南经济技术开发区,131,1
骏亚工业园,江西省,赣州市,龙南市,赣州市龙南市龙南镇,122,1
华立美工业园,江西省,赣州市,龙南市,西经一路与优信普路交叉路口往西约80米,109,8
龙南瑞龙纺织服饰科技产业园,江西省,赣州市,龙南市,赣州市龙南市金塘路,88,3
比邦智能科技园,江西省,赣州市,龙南市,赣州隆星科技有限公司东侧,53,7
龙南国际眼镜产业园,江西省,赣州市,龙南市,骏亚大道与东流坑大道交叉路口往东约120米,42,-
乐博维产业园,江西省,赣州市,龙南市,赣州市龙南市塘背路与东二路交叉路口西北侧,22,-
东江乡新圳村基层组织创业园,江西省,赣州市,龙南市,535国道与中和大道交叉口东北440米,-,2
龙南县奥园广场电子商务孵化园,江西省,赣州市,龙南市,迎宾大道南,-,15
绮都智慧创业园区,江西省,赣州市,龙南市,赣州市龙南市龙岗大道与塘背路交叉路口西北侧,-,-
金塘工业园,江西省,赣州市,龙南市,赣州市龙南市黄沙路与汇森大道交叉口西南方向190米,-,2
龙南经济技术开发区,江西省,赣州市,龙南市,赣州市龙南市翼龙路,-,477
赣州人力资源服务产业园龙南园区,江西省,赣州市,龙南市,赣州市龙南市金水大道,-,1
龙南客家红文创园,江西省,赣州市,龙南市,赣州市龙南市龙南电子商务产业园5号,-,-
龙腾电子科技园,江西省,赣州市,龙南市,赣州市龙南市市下围大道与迎宾大道交叉口西南150米,-,1
旭鑫工业苑,江西省,赣州市,龙南市,赣州市龙南市大罗工业区,-,2
大罗工业区,江西省,赣州市,龙南市,赣州市龙南市黄沙路与105国道交叉口东100米,-,2
霍山石斛龙南产业园,江西省,赣州市,龙南市,赣州市龙南市金水大道628号,-,3
龙南电子商务产业园,江西省,赣州市,龙南市,赣州市龙南市龙南镇龙鼎大道,-,3
瑞金市国家经济技术开发区,江西省,赣州市,瑞金市,石中段与888乡道交叉口西北100米,7172,443
金沙工业园,江西省,赣州市,瑞金市,赣州市瑞金市叶坪镇沙子岗,663,25
中国·赣闽商贸物流园,江西省,赣州市,瑞金市,赣州市瑞金市206国道附近,425,20
沙洲坝工业园,江西省,赣州市,瑞金市,赣州市瑞金市沙洲坝镇,303,124
电气化机械产业园,江西省,赣州市,瑞金市,赣州市瑞金市创业大道,228,41
智佳数字产业园,江西省,赣州市,瑞金市,沙洲坝镇,137,1
红都兴光电科技园,江西省,赣州市,瑞金市,赣州市瑞金市金龙二路,114,-
瑞金市电子科技产业园(建设中),江西省,赣州市,瑞金市,经开区沙洲坝路西北面(九华药业对面),112,4
金龙工业区,江西省,赣州市,瑞金市,赣州市瑞金市金鑫大道100号,107,8
瑞金同信产业孵化园(建设中),江西省,赣州市,瑞金市,长征大道与沙洲坝路交叉口东北180米,97,-
金富科技园,江西省,赣州市,瑞金市,赣州市瑞金市金龙二路,51,-
瑞和黄金珠宝产业园,江西省,赣州市,瑞金市,赣州市瑞金市瑞金市经济开发区金光大道(凯迪电子院内),34,-
瑞金创新创业基地,江西省,赣州市,瑞金市,赣州市瑞金市金龙二路与红井路交叉路口往南约100米,31,1
瑞金市电子商务孵化园,江西省,赣州市,瑞金市,赣州市瑞金市创业大道东侧,27,18
塑胶产业园,江西省,赣州市,瑞金市,赣州市瑞金市金光大道,24,26
瑞金经开区智能加工产业园(建设中),江西省,赣州市,瑞金市,瑞金枢纽Ⅱ与G76厦蓉高速交叉口北300米,-,-
城西开发区,江西省,赣州市,瑞金市,赣州市瑞金市红都大道386号,-,23
瑞金市创业孵化基地,江西省,赣州市,瑞金市,赣州市瑞金市七彩大道与瑞金大道西交叉口东北方向80米,-,54
台商创业园,江西省,赣州市,瑞金市,赣州市瑞金市金龙大道,-,26
1107文化旅游创意产业园,江西省,赣州市,瑞金市,泽覃大道与509县道交叉口东南60米,-,18
兴国县工业园区,江西省,赣州市,兴国县,赣州市兴国县宏昌车辆检测中心(红门大道东),1542,101
洪门工业区,江西省,赣州市,兴国县,赣州市兴国县潋江镇红门大道洪门村,324,3
兴国县智能家电产业园,江西省,赣州市,兴国县,纬五路与经七路和平路西300米,207,5
金盛创业园,江西省,赣州市,兴国县,经五路与纬三路交叉口南80米,136,1
昌明电子玩具产业园,江西省,赣州市,兴国县,纬三路与纬六路交叉口西140米,110,166
军民融合产业基地,江西省,赣州市,兴国县,赣州市兴国县潋江镇经济开发区南区经五路,81,-
油茶科技园,江西省,赣州市,兴国县,赣州市兴国县迎宾大道,79,1
久容卫浴工业园,江西省,赣州市,兴国县,洪门工业园南区,74,-
旭航诚光电产业园,江西省,赣州市,兴国县,赣州市兴国县纬五路与经四路交叉口东南约80米,57,-
江西卓品新材料产业园,江西省,赣州市,兴国县,文明大道与经五路交叉口西500米,50,1
高兴镇返乡创业园,江西省,赣州市,兴国县,238国道与319国道交叉口东220米,35,2
智谷创联科创园,江西省,赣州市,兴国县,模范大道152号,-,6
北京联盟园,江西省,赣州市,兴国县,五福路与兴国大道中山北路西80米,-,-
兴国县残疾人就业创业孵化基地,江西省,赣州市,兴国县,赣州市兴国县模范大道,-,-
兴国县国际商贸城创业孵化基地,江西省,赣州市,兴国县,赣州市兴国县G319(厦成线),-,30
兴国聚众文化科技创意园,江西省,赣州市,兴国县,兴国县工业园红门经济开发区新区春天文化传媒有限公司,-,4
联纲产业园,江西省,赣州市,兴国县,赣州市兴国县模范大道,-,5
兴国县电子商务产业孵化园,江西省,赣州市,兴国县,赣州市兴国县迎宾大道,-,13
江背针织工业区,江西省,赣州市,兴国县,赣州市兴国县319国道北50米,-,-
赣州高新技术产业开发区,江西省,赣州市,赣县区,贡江大道与铜铝大道交叉口,5330,525
七里工业园,江西省,赣州市,赣县区,赣州市赣县区科力路东50米,413,31
江西省现代服务业集聚区,江西省,赣州市,赣县区,赣州市赣县区城南大道与万里路交叉路口往西南约200米,232,338
赣州高新区高新技术企业加速器,江西省,赣州市,赣县区,汇龙大道富贵山林西北侧约270米,104,3
红金工业园,江西省,赣州市,赣县区,赣州市赣县区赣新大道,95,24
中国稀金谷永磁电机产业园,江西省,赣州市,赣县区,赣州市赣县区洋塘工业大道,84,64
协晟零部件产业园,江西省,赣州市,赣县区,赣州市赣县区振兴路19号B1栋,84,37
赣县小微企业创业园,江西省,赣州市,赣县区,创业路与火炬西路交叉口西北50米,62,17
赣州返乡农民工创业园,江西省,赣州市,赣县区,赣州市赣县区火炬大道西,25,-
稀金谷双创园,江西省,赣州市,赣县区,赣州市赣县区火炬大道,15,502
赣州高新区电商园,江西省,赣州市,赣县区,赣州市赣县区高新技术产业园红金工业园火炬大道19号,13,95
江西省赣县金钩形水土保持科技示范园,江西省,赣州市,赣县区,赣州市赣县区白鹭乡吉塘村,10,-
江西赣州高新技术产业园区(兴园大道),江西省,赣州市,赣县区,赣州市赣县区赣新大道与兴园大道交叉口西南约20米,4,3
赣县区小企业创业基地,江西省,赣州市,赣县区,赣州市赣县区洋塘村糖厂路东南方向100米,-,-
共产党员创业基地,江西省,赣州市,赣县区,江西省赣州市赣县区南塘镇459县道,-,-
洋塘工业园,江西省,赣州市,赣县区,赣州市赣县区茅店镇,-,48
稀金产业园,江西省,赣州市,赣县区,赣州市赣县区兴园大道与汇龙大道交叉口东150米,-,-
上欧工业园,江西省,赣州市,于都县,赣州市于都县齐民路与于都大道交叉口西侧,1349,328
华鼎科技产业园,江西省,赣州市,于都县,赣州市于都县宝矿路1号,182,9
榕泉控股.中民筑友建筑科技产业园基地(建设中),江西省,赣州市,于都县,赣州市于都县罗坳镇纬三路1号,100,-
江西脉动智能制造时尚产业园,江西省,赣州市,于都县,赣州市于都县龙门路,77,71
天键电子产业园,江西省,赣州市,于都县,赣州市于都县宝矿路与齐民路交叉路口西北侧,66,-
玛尚进口赣州综合保税区,江西省,赣州市,于都县,古田中路与站前南路交叉口西南80米,-,9
江西供销(于都)冷链物流园(建设中),江西省,赣州市,于都县,于都东高速路出口西侧梓山镇河坑村新323国道旁,-,2
脉动电商孵化园,江西省,赣州市,于都县,赣州市于都县楂林工业园龙门路于都血浆站旁边,-,25
于都县禾丰现代农业产业园,江西省,赣州市,于都县,赣州市于都县禾丰镇高速公路路口,-,-
江西翡俪文德时尚产业园,江西省,赣州市,于都县,光启路与天工路交叉口西南100米,-,-
于都县梓山万亩富硒蔬菜产业园(北区),江西省,赣州市,于都县,323国道北侧,-,-
江西和乐园生态农业科技示范园,江西省,赣州市,于都县,赣州市于都县银坑镇洋河桥中国石化东南120米,-,-
楂林工业园(江西于都工业园区),江西省,赣州市,于都县,江西省赣州市于都县于都工业园江西于都工业园区,-,10
龙南经济技术开发区全南园区,江西省,赣州市,全南县,赣州市全南县金龙大道与金源一路交叉路口往西约100米,1896,438
种苗培育科技园,江西省,赣州市,全南县,江禾田园综合体西北侧270米,547,1
全南县第一工业区,江西省,赣州市,全南县,第一工业区东风村,360,18
全南县电子信息产业园,江西省,赣州市,全南县,晶阳路与晶晖路交叉口东220米,140,14
松岩工业园,江西省,赣州市,全南县,赣州市全南县326省道东50米,131,4
全南返乡创业基地二期(建设中),江西省,赣州市,全南县,工业大道与松山路交叉口西100米,119,1
产学研用园区(全南县工业园标准厂房二期),江西省,赣州市,全南县,海诺路与松山路交叉口东480米,109,7
全南创新创业(电商)园,江西省,赣州市,全南县,赣州市全南县骏宏路第三工业园,55,29
韩姿工业园,江西省,赣州市,全南县,赣州市全南县杰友西路与杰友路交叉口西150米,43,2
全南县大健康产业园,江西省,赣州市,全南县,桃江源大道(九连山国家森林公园北侧约260米),-,-
粤港澳大湾区农副产品直供产业园(建设中),江西省,赣州市,全南县,桃江源大道与龙小线交叉口西南420米,-,-
江西供销(全南)冷链物流园(建设中),江西省,赣州市,全南县,桃江源大道与龙小线交叉口西南340米,-,-
江西高峰科技园,江西省,赣州市,全南县,赣州市全南县419县道西50米,-,-
寻乌石排工业园,江西省,赣州市,寻乌县,赣州市寻乌县北大道,439,99
广寻现代物流园,江西省,赣州市,寻乌县,赣州市寻乌县文峰乡,150,30
金峰电商产业园,江西省,赣州市,寻乌县,236国道东侧,11,-
广寻商汇返乡创业创新园,江西省,赣州市,寻乌县,236国道与创业路交叉口南440米,1,-
寻乌循环经济产业园,江西省,赣州市,寻乌县,206国道与774乡道和平路西北300米,-,-
寻乌民营创业园,江西省,赣州市,寻乌县,创业路南侧,-,43
江西箭冠汽配产业园,江西省,赣州市,寻乌县,江西省赣州市寻乌县长宁镇,-,-
寻乌县黄蜡石创业孵化基地,江西省,赣州市,寻乌县,赣州市寻乌县滨河西路左岸香桂西侧约180米,-,14
寻乌产业孵化示范基地,江西省,赣州市,寻乌县,长宁镇中山路118号(教育局楼下),-,39
寻乌县大同陂下樱花谷科技生态示范园,江西省,赣州市,寻乌县,赣州市寻乌县401县道南50米,-,-
大余县有色金属新材料精深加工产业园,江西省,赣州市,大余县,赣州市大余县伯坚大道与龙兴路交叉路口往东南约50米,2559,67
新世纪工业城(新世纪工业园),江西省,赣州市,大余县,赣州市大余县南安镇,252,101
赣粤·物流生态小镇,江西省,赣州市,大余县,323国道宏安驾校正对面,79,-
余商创业园,江西省,赣州市,大余县,赣州市大余县工业一路,18,3
瑟穆拉健康产业园,江西省,赣州市,大余县,赣州市大余县新城工业园工业一路,10,-
大余轮毂产业园,江西省,赣州市,大余县,新城镇赣粤汽配的工业园工业三路南,-,-
科比特航空科技园,江西省,赣州市,大余县,赣州市大余县169乡道与323国道交叉口,-,-
定南工业园,江西省,赣州市,定南县,赣州市定南县定南县工业园,184,19
明高科技园,江西省,赣州市,定南县,赣州市定南县产业三路与产业四路交叉口北50米,81,2
工业园区富工三路返乡创业示范基地,江西省,赣州市,定南县,富田大道与产业二路交叉口南100米,11,-
富田工业园,江西省,赣州市,定南县,赣州市定南县定南县工业园,11,111
定南公路港,江西省,赣州市,定南县,赣州市定南县S327(东江源大道),-,1
大唐盛视(定南)智慧健康产业园,江西省,赣州市,定南县,赣州市定南县新时代大道,-,-
定南县高端音频产业园,江西省,赣州市,定南县,赣州市定南县富田工业区产业一路,-,-
石城县工业园,江西省,赣州市,石城县,赣州市石城县工业大道与金丰大道交叉口东100米,1047,548
石城县小微企业创业园,江西省,赣州市,石城县,琴江镇古樟工业园里面,74,-
三晟鞋服产业园,江西省,赣州市,石城县,江西省赣州市石城县琴江镇,-,-
石城雍和文园,江西省,赣州市,石城县,赣州市石城县赣江源南大道660号,-,3
江西省绿色食品(白莲)产业基地,江西省,赣州市,石城县,赣州市石城县206国道东50米,-,-
石城颐高电子商务产业园,江西省,赣州市,石城县,赣州市石城县城北大道与赣江源大道交汇处,-,8
乐丰科技园,江西省,赣州市,上犹县,赣州市上犹县黄埠工业园,62,1
上犹工业园(黄埠工业园),江西省,赣州市,上犹县,赣州市上犹县北区经一路与324省道交叉口南50米,50,110
中国·上犹光电科技产业园,江西省,赣州市,上犹县,赣州市上犹县金山大道与上丰路交叉口西约100米,45,-
