名称,总价,每平方单价,小区名称,地址,房型,面积,朝向,楼层,建造时间
低指导价100w，2017年新小区，满五红本，看房方便,300万,28847元/㎡,合正丹郡,布吉-丹竹头-沙平南路123号,3室2厅2卫,104㎡,南,低层(共32层),2017年建造
皇庭彩园 高楼层视野无遮挡 临地铁 购物方便,366万,63017元/㎡,皇庭彩园,福田-皇岗-皇岗公园二街2号,2室2厅1卫,58.08㎡,南,高层(共33层),2003年建造
福田次新，豪华装修，车位充足，总价实惠，绿景虹湾！,830万,93416元/㎡,绿景虹湾,福田-下梅林-北环大道6098号,3室2厅2卫,88.85㎡,西北,中层(共45层),2015年建造
中海西岸华府(南区) 满五   交通便捷 近地铁 商品住宅,310万,41093元/㎡,中海西岸华府(南区),宝安-松岗-朗碧路,3室2厅1卫,75.44㎡,南,中层(共17层),2008年建造
全景高尔夫！深圳绿肺，安静不吵车位足，业主诚心出售，价格可谈,800万,61228元/㎡,国都高尔夫花园(二期),福田-新洲-新沙路8号,4室2厅2卫,130.66㎡,北,中层(共31层),2000年建造
少见新上电梯小高层，满五年少税费，看小区花园,480万,46926元/㎡,艺丰花园(B区),福田-上梅林-梅东一路2号,3室2厅1卫,102.29㎡,南北,中层(共7层),1995年建造
急售 松岗地铁口 南北通透户型 业主做了双卫 3百多,360万,47189元/㎡,松河瑞园,宝安-松岗-溪头工业四路,3室2厅2卫,76.29㎡,南北,高层(共36层),2017年建造
地铁口品质花园社区，三房业主急售，看房方便,468万,51446元/㎡,海云轩,宝安-宝安中心区-宝安大道1168号,3室2厅1卫,90.97㎡,东北,低层(共17层),2004年建造
景发花园新出  好房！业主因要移民现在市场价8折现在诚心出售,570万,68725元/㎡,景发花园,福田-景田北-莲花路2077号,3室2厅1卫,82.94㎡,西北,高层(共29层),1992年建造
此房税费低卫光花园精装3居室 比同户型单价低,80万,16000元/㎡,卫光花园,光明-光明-竹塘路,3室2厅2卫,50㎡,南北,中层(共16层),2018年建造
看房找严公子，专注山海上城5年买卖房源,515万,58035元/㎡,康达尔山海上城,宝安-西乡-宝安大道,3室2厅2卫,88.74㎡,西南,高层(共33层),2017年建造
深圳豪宅景观之WANG，凤凰层总裁大宅，错过再等5年,15000万,345527元/㎡,深圳湾一号,南山-后海-中心路3008号,3室2厅4卫,434.12㎡,东南,高层(共49层),2015年建造
商品房 小三居 满五   高楼层采光充足 带电梯 装修好,188万,21292元/㎡,深业东城御园,坪山-坑梓-卢屋一巷1号,3室2厅1卫,88.3㎡,北,高层(共18层),2013年建造
    医疗配套成熟 近地铁 商品房 出行方便 精装好房,1100万,119384元/㎡,侨香村,福田-香蜜湖-安托山九路1号,3室2厅1卫,92.14㎡,东北,低层(共32层),2011年建造
碧岭华庭 南北通透 环境好 满五   商品房 双卫生间,490万,40594元/㎡,碧岭华庭,罗湖-布心-太白路4068号,3室2厅2卫,120.71㎡,南北,中层(共32层),2003年建造
新上架！四季公馆 精装三房两卫 红本税费少 业主诚心出售,322万,41727元/㎡,鹏广达四季公馆,盐田-盐田-盐田五街10号,3室2厅2卫,77.17㎡,南北,中层(共32层),2020年建造
小三房 满五   产权清晰 高楼层视野无遮挡 电梯房 楼龄新,400万,53369元/㎡,合正观澜汇(一期),龙华-观澜-观澜大道115号,3室2厅1卫,74.95㎡,东南,高层(共29层),2016年建造
315万入手深中  笋盘住宅 保利上城 满五  税费少,315万,43074元/㎡,保利上城,龙岗-龙岗中心城-怡翠路202号,3室2厅2卫,73.13㎡,东南,中层(共30层),2017年建造
真正  核心，佳兆业未来城，次新精装三房，满五诚心卖价格能谈,400万,44534元/㎡,佳兆业未来城,龙岗-大运-如意路128号,3室2厅2卫,89.82㎡,西南,低层(共33层),2017年建造
笋！园岭本部新售价5XX    厅出大阳台   安静近  ,598万,71022元/㎡,园岭新村,福田-园岭-笋岗西路2057号,3室2厅1卫,84.2㎡,南北,中层(共7层),1985年建造
星河盛世 带电梯 商圈成熟 近地铁 高楼层采光充足 环境好,866万,65157元/㎡,星河盛世,龙华-民治-梅龙路2号,4室2厅2卫,132.91㎡,东,高层(共30层),2012年建造
16号线地铁口，中海康城，精装两房，满五  ，南向，视野开阔,260.5万,35428元/㎡,中海康城花园,龙岗-大运-清辉路149号,3室2厅1卫,73.53㎡,南,低层(共26层),2009年建造
美丽家园南区 近医院 小区绿化高 中间楼层采光好 交通便捷,310万,44229元/㎡,美丽家园南区,龙华-龙华中心区-建设路,2室2厅1卫,70.09㎡,南,中层(共7层),2002年建造
一品澜山180三房业主生意亏欠资金紧 急售房子豪华装修可谈,225万,26078元/㎡,中粮一品澜山花园,坪山-坑梓-光祖南路1号,3室2厅1卫,86.28㎡,南,中层(共32层),2018年建造
4房）金众云山栖家电齐全，高拓展户型，居家实用税费低,320万,36142元/㎡,金众云山栖,大鹏新区-葵涌-石葵路,4室2厅2卫,88.54㎡,南,中层(共33层),2016年建造
近地铁口！2梯3户豪宅标配，房子性价比高，采光条件非常不错,599万,65508元/㎡,福瑞阁,福田-新洲-新洲九街339号,3室2厅1卫,91.44㎡,南,中层(共30层),2007年建造
高层三房，视野漂亮，楼下112号线地铁桃园站,568万,70983元/㎡,如意家园,南山-南头-常兴路102号,3室2厅1卫,80.02㎡,北,高层(共18层),2003年建造
地铁口的刚需三房，车位充足，近公园，室内拎包入住，急售600,600万,69768元/㎡,深业东岭,罗湖-黄贝岭-深南东路1002号,3室2厅2卫,86㎡,西北,中层(共38层),2017年建造
北站  3层顶楼复式5房 超高实用 安静好位置 价格还美丽,868万,52543元/㎡,世纪春城(三期),龙华-民治-梅龙路,5室2厅3卫,165.2㎡,南北,高层(共16层),2003年建造
百花公寓三房8字头，红本五年税费少，诚卖价格可谈,830万,94201元/㎡,百花公寓一期,福田-百花-百花三路5号,3室2厅1卫,88.11㎡,西南,高层(共32层),1995年建造
紫麟山，豪装看公园 满五年 安静舒适 看房方便 诚心出售,550万,30009元/㎡,紫麟山,龙岗-龙岗中心城-长兴北路12号,4室2厅2卫,183.28㎡,南北,高层(共30层),2010年建造
半三230中高层一线海景五房，精装99成新，诚意出售,5388万,234762元/㎡,半岛城邦(三期),南山-蛇口-望海路1009号,5室2厅3卫,229.51㎡,南北,中层(共48层),2018年建造
龙华民治！梅林关口！次新小区97平三房两卫！破底价随时可看！,590万,61306元/㎡,深国际万科悦城,"龙华-梅林关口-民治大道,近民乐路",3室2厅2卫,96.24㎡,南北,低层(共32层),2020年建造
悦峰尚府 次新房 正南朝向 有电梯 临地铁 小三居,245万,37122元/㎡,悦峰尚府,罗湖-草埔-新棉路,3室1厅1卫,66㎡,西北,中层(共51层),2022年建造
龙岗中心城 商品房 满五 小三居 双卫格局 有电梯 精装好房,275万,31282元/㎡,金地名峰,龙岗-龙岗中心城-宝沙一路,3室2厅2卫,87.91㎡,南,高层(共30层),2014年建造
降价啦! 高楼层 79平赠送36平 红本在手,360万,45085元/㎡,鹏广达山海四季城,盐田-盐田-东海三街8号,3室2厅1卫,79.85㎡,南北,高层(共40层),2016年建造
业主诚售，南北通三房！精装修，小区配套齐全，只要5XX万！,600万,69768元/㎡,益田村,福田-益田村-益田路,3室2厅1卫,86㎡,南北,中层(共8层),1995年建造
富通九曜公馆 小三居 满五   次新房 电梯房 出行方便,658万,75633元/㎡,富通九曜公馆,福田-新洲-新沙路18号,3室2厅1卫,87㎡,东北,低层(共64层),2023年建造
前海时代二期 企业力荐好房诚意出售,2300万,126409元/㎡,前海时代,南山-前海-桂湾五路128号,5室2厅2卫,181.95㎡,南,中层(共11层),2017年建造
园岭新村49X，配套成熟，近红岭中，使用高,550万,71364元/㎡,园岭新村,福田-园岭-笋岗西路2057号,2室2厅1卫,77.07㎡,南北,高层(共8层),1984年建造
财富广场房子出售，户型方正，朝西北向,430万,88151元/㎡,浩铭财富广场,福田-车公庙-香林路7号,1室1厅1卫,48.78㎡,西北,高层(共28层),2003年建造
中熙君南山  17年次新房 9号线地铁站  看房有钥匙,915万,103777元/㎡,中熙君南山,南山-南油-荔林路8号,3室2厅2卫,88.17㎡,南,低层(共30层),2017年建造
西乡 装修好 朝南 临地铁 出行方便 有电梯 医疗配套成熟,605万,68486元/㎡,幸福珺湾,宝安-西乡-兴业路,3室2厅2卫,88.34㎡,南,中层(共31层),2017年建造
近医院 满五 正南朝向 购物方便 商品住宅 豪华设计,720万,165366元/㎡,国城花园,福田-百花-百花一路1号,1室0厅1卫,43.54㎡,南,高层(共32层),1996年建造
峦山谷端头位 可改三房 非常方正 楼下沃尔玛 14号地铁,210万,25926元/㎡,振业峦山谷,龙岗-宝龙-宝龙大道81号,2室2厅1卫,81㎡,南,高层(共30层),2009年建造
红树华府，次新小区，精装两房，安静看海景,779万,93574元/㎡,绿景红树湾壹号,福田-沙嘴-沙嘴路,2室1厅1卫,83.25㎡,西南,中层(共42层),2018年建造
价格可谈  中海华庭，看花园两房，诚心出售！,799万,94000元/㎡,中海华庭,福田-福田中心区-民田路89号,2室2厅1卫,85㎡,西南,高层(共28层),2000年建造
洪湖桂园  小区配套齐全  住家安静  经典3房 价格可谈,513万,57641元/㎡,合正锦湖逸园,罗湖-洪湖-洪湖一街21号,3室2厅1卫,89㎡,南北,中层(共32层),2008年建造
正观湖景！业主诚心卖，欢迎来电询价！正观天鹅湖精装5房。,5700万,212236元/㎡,新天鹅堡(一二期),南山-华侨城-侨香路4261号,4室2厅4卫,268.57㎡,南北,低层(共41层),2018年建造
深圳外国语平湖  星源3房出售 东南朝向 满五税少,260万,29999元/㎡,中环阳光星苑,龙岗-平湖-科园西路,3室2厅1卫,86.67㎡,南北,低层(共34层),2019年建造
坂田 中间楼层 刚需小三居 医疗配套成熟 满五 电梯房,610万,69715元/㎡,信义嘉御山,龙岗-坂田-吉华路698号,3室2厅2卫,87.5㎡,南北,中层(共29层),2013年建造
  抗跌3房，高使用率，安静看花园,520万,60614元/㎡,星河时代,龙岗-大运-爱南路666号,3室2厅2卫,85.79㎡,东南,中层(共33层),2011年建造
"四五零大靓房 公园里的家 环境优美 上翠,园 全天可看",510万,62770元/㎡,庐峰翠苑,罗湖-黄贝岭-黄贝路1000号,2室2厅1卫,81.25㎡,东南,低层(共20层),2006年建造
小区新 商业配套齐全 刚需大三房 精装好房 正南朝向 临地铁,400万,47226元/㎡,颐安都会中央(二期),"龙岗-大运-龙岗大道,近爱南路",3室2厅2卫,84.7㎡,南,低层(共31层),2016年建造
  历史新低，首付两成，抄底好时机，不要错过哦,608万,68261元/㎡,桃源村(三期),南山-桃源村-龙珠八路8号,3室2厅1卫,89.07㎡,西北,中层(共34层),2008年建造
布吉关 精装可拎包入住 临地铁 近医院 交通便利 产权清晰,175万,28689元/㎡,龙珠花园(龙岗),布吉-布吉关-京南路20号,2室1厅1卫,61㎡,北,低层(共30层),1998年建造
业主换房价格可谈 南北通透 精装修拎包住 刚满五,550万,63724元/㎡,联建君钰府,"宝安-新安-前进路,近同和路",3室2厅2卫,86.31㎡,南北,中层(共33层),2019年建造
泰美园精装三房 户型方正 南向 看房方便诚心放卖,830万,79977元/㎡,泰美园,福田-石厦-石厦北二街6号,3室2厅2卫,103.78㎡,南北,中层(共20层),2005年建造
御峰园业主自住房精装修 满五  红本在手 预约看现房！,530万,42739元/㎡,御峰园,龙岗-平湖-凤凰大道108号,3室2厅3卫,124.01㎡,东南,低层(共22层),2014年建造
百花公寓一期 商业配套成熟 有电梯 出行方便 刚需小三居,930万,96875元/㎡,百花公寓一期,福田-百花-百花三路5号,3室1厅1卫,96㎡,南,中层(共32层),1998年建造
红荔村新上房源，诚心出售看房方便,688万,91685元/㎡,红荔村住宅区,福田-华强北-振兴路22-7号,3室2厅1卫,75.04㎡,南北,中层(共7层),1988年建造
精装南北通透三房两卫 16号线地铁站 可看房 满五年 税费少,236万,27423元/㎡,中骏四季阳光一期,龙岗-同乐-同富路,3室2厅2卫,86.06㎡,南北,高层(共31层),2015年建造
一步前海 一步科技园 东南向 高楼层大三房 业主换房急售,608万,67481元/㎡,英达钰龙园,南山-南头-南新路3058号,3室2厅2卫,90.1㎡,东南,高层(共31层),2004年建造
诚心出售，看房提前联系,259万,29846元/㎡,海航国兴城,龙岗-南联-龙岗大道(龙岗段)6001号,3室2厅1卫,86.78㎡,南,低层(共33层),2013年建造
银湖半山 近地铁 满五   西南朝向 装修好 医疗配套成熟,228万,26824元/㎡,银湖半山,罗湖-红岗花园-金湖路6-33号,2室2厅1卫,85㎡,西南,低层(共38层),2012年建造
价格可少20万布吉中心广场 商圈成熟 商品住宅 交通便利,135万,25962元/㎡,布吉中心广场,布吉-布吉街-吉华路69号,2室1厅1卫,52㎡,南,高层(共22层),2015年建造
9XX出）红岭中学 大三房 次新楼盘 价格可聊,968万,79345元/㎡,新天石厦花园,福田-石厦-石厦二街,3室2厅2卫,122㎡,南北,中层(共43层),2018年建造
桃源村(三期)~中楼层电梯房~停车充足~双卫~小区绿化高~密,598万,70353元/㎡,桃源村(三期),南山-桃源村-龙珠八路8号,3室2厅1卫,85㎡,南北,中层(共35层),2008年建造
（南北通透 送大阳台）低密社区 居住舒适 三地铁 近市场！！,730万,59000元/㎡,溪山美地园,龙华-梅林关口-梅坂大道236号,4室2厅2卫,123.73㎡,南,中层(共31层),2009年建造
双玺时光道400大宅，三面采光，近130平餐客厅,6300万,158380元/㎡,双玺时光道,"南山-蛇口-望海路,近福湾路",5室2厅5卫,397.78㎡,南北,低层(共36层),2017年建造
优品艺墅（小鹏推荐）精装大两房拎包入住，可做三房，朝东,230万,25673元/㎡,优品艺墅,盐田-大梅沙-环海路68号,2室2厅1卫,89.59㎡,南北,高层(共8层),2007年建造
中银花园小区专家曾鹏看房扣我，各种户型笋盘都有,520万,52851元/㎡,中银花园,福田-福田中心区-福中一路1006号,3室2厅1卫,98.39㎡,东北,中层(共32层),1997年建造
业主诚心出售 企业力荐好房诚意出售,588万,63837元/㎡,如意家园,南山-南头-常兴路102号,3室2厅1卫,92.11㎡,东,中层(共18层),2003年建造
万科物业，福外附近，福田宜居小区，刚需改善可选，花园泳池社区,799万,90796元/㎡,万科金色家园,福田-景田北-莲花路2018号,3室2厅1卫,88㎡,南,中层(共23层),2000年建造
万科城市花园正规5房业主诚心出售,1350万,110702元/㎡,万科城市花园,福田-景田北-香梅路2038号,5室2厅2卫,121.95㎡,南北,中层(共8层),1997年建造
三期高楼层精装修，完全拎包入住，红本满五年  ，只要交契税,565万,69771元/㎡,桃源村(三期),南山-桃源村-龙珠八路8号,3室2厅1卫,80.98㎡,南北,高层(共33层),2008年建造
前海16年次新社区，车位比12，红五一产权  ，只交契税,628万,77112元/㎡,深物业前海港湾花园,南山-前海-月亮湾大道2007号,3室2厅1卫,81.44㎡,南北,中层(共34层),2016年建造
清湖地铁口幸福城，舒适复试，中间楼层南向看花园，指导价卖,638万,71095元/㎡,幸福城(三期),龙华-清湖-清泉路,4室2厅2卫,89.74㎡,西南,中层(共32层),2014年建造
鹤洲豪庭~朝向南~温馨3居室~素质住户~诚意出售,158万,21352元/㎡,鹤洲豪庭,宝安-西乡-北七路,3室2厅1卫,74㎡,南,中层(共21层),2018年建造
瀚盛花园 114.41平米,1178.4万,103000元/㎡,香蜜湖瀚城,福田-香蜜湖-二号路,3室2厅2卫,114.41㎡,东南,低层(共28层),2006年建造
园岭花园 大两居 装修好 满五   交通便利 近地铁,518万,63171元/㎡,园岭花园,福田-园岭-红岭中路2061号,2室1厅1卫,82㎡,东,高层(共30层),1991年建造
凤凰楼层南北通双阳台三房两卫户型，少有放卖，仅需契税,850万,77647元/㎡,绿景花园(二期),福田-新洲-福强路3018号,3室2厅2卫,109.47㎡,东南,高层(共33层),2005年建造
阳光棕榈园 商业配套齐全 朝向好 医疗配套成熟 近地铁 满五,488万,65831元/㎡,阳光棕榈园,南山-前海-前海路2057号,2室2厅1卫,74.13㎡,西南,高层(共6层),2002年建造
麒麟实验2房！8年前在我手上买的，换房急售！红本在手！,450万,94399元/㎡,麒麟花园,南山-南头-玉泉路3号,2室1厅1卫,47.67㎡,南北,高层(共7层),2000年建造
时代华庭南向高楼层出售，可以看莲花山景观，笋盘欢迎咨询,640万,65447元/㎡,时代华庭,福田-景田南-商报东路15号,4室2厅2卫,97.79㎡,西北,高层(共29层),2000年建造
急售！新装修，笋岗庆云花园精装三房，满五年，随时看房，,468万,49788元/㎡,田心庆云花园,罗湖-笋岗-田心村168号,3室1厅1卫,94㎡,南北,高层(共15层),1998年建造
宝安实验大花园社区，精装修三房业主诚心出售，联系我随时看房。,525万,64025元/㎡,中商花园,宝安-翻身路-甲岸路10号,3室2厅1卫,82㎡,南北,高层(共9层),1999年建造
成交热门小区，安静无遮挡看山景，笋盘急售，价格可聊,539万,60562元/㎡,桃源村(三期),南山-桃源村-龙珠八路8号,3室2厅1卫,89㎡,南北,低层(共34层),2008年建造
业主置换，降价急卖，红五一，厅出阳台，安静,369万,56840元/㎡,京基御景华城,福田-赤尾-滨河大道3001号,2室2厅1卫,64.92㎡,南北,低层(共34层),2005年建造
中心公馆毛坯3房 交通便捷 精装修 近地铁 满五  ,290万,33745元/㎡,深城投中心公馆(公寓住宅),坪山-坪山-兰竹西路33号,3室2厅2卫,85.94㎡,西南,低层(共47层),2018年建造
标题价还能砍50万！业主换大房子急出，看房联系我，有议价客户,700万,73522元/㎡,信和自由广场,南山-南油-南海大道2088号,3室2厅1卫,95.21㎡,东,中层(共24层),2006年建造
松茂御龙湾，居家的三房，业主诚心出售，看房提前预约，价格可谈,660万,74075元/㎡,松茂御龙湾,宝安-碧海湾-银田路,3室2厅2卫,89.1㎡,南,高层(共31层),2016年建造
招商花园城(北区) 刚需小三居 中间楼层采光好 小区新,290万,32895元/㎡,招商花园城(北区),坪山-坪山-和政路4号,3室2厅1卫,88.16㎡,南北,中层(共33层),2015年建造
急售 价格可谈 深城投中心公馆大4房 满五 东南朝向,520万,41591元/㎡,深城投中心公馆(公寓住宅),坪山-坪山-兰竹西路33号,4室2厅2卫,125.03㎡,东南,低层(共45层),2020年建造
香蜜湖畔 福外景秀护航 全落地飘窗 紧挨公园 正规2房,550万,66266元/㎡,俊景豪园,福田-景田北-香梅路2002号,2室2厅1卫,83㎡,西北,低层(共33层),2003年建造
总裁（  ），带小露台，仅有5字头，区域  盘，这周必卖,598万,68040元/㎡,绿景公馆1866(北区),龙华-民治-旺民街,3室2厅2卫,87.89㎡,南北,低层(共29层),2013年建造
高楼层，看房子很方便。,450万,73832元/㎡,英达钰龙园,南山-南头-南新路3058号,3室2厅1卫,60.95㎡,西南,高层(共32层),2004年建造
金港豪庭 双卫格局 交通便利 商圈成熟 小三居 满五  ,678万,72935元/㎡,金港豪庭,福田-皇岗-金田路1001号,3室2厅2卫,92.96㎡,南北,高层(共32层),2003年建造
十三区高楼层急卖，总价还能聊，有钥匙随时看房,638万,71198元/㎡,梅林一村(五至十三区),福田-下梅林-梅林路148号,3室2厅1卫,89.61㎡,西南,高层(共18层),1998年建造
2 6 0 买坪山实验 财富城精装3房 满五年 红本在售,271万,32989元/㎡,财富城,坪山-坪山-和强路8号,3室2厅1卫,82.15㎡,南,高层(共39层),2019年建造
景蜜村凤凰楼层，采光观景好，双卧客厅朝南，南向面,675.1万,77600元/㎡,景蜜村,福田-景田北-景田北三街,3室2厅2卫,87㎡,南北,中层(共8层),1997年建造
总价265万！！买万科天誉精装三房！满五红本！来电优先看房！,265万,20769元/㎡,天誉国际公馆,龙岗-龙岗中心城-龙翔大道,3室2厅2卫,127.6㎡,南北,高层(共33层),2019年建造
长城盛世家园一期南向3房，地铁口物业,628万,67440元/㎡,长城盛世家园(一期),福田-彩田村-彩田路2-5号,3室2厅1卫,93.12㎡,南,高层(共34层),2001年建造
龙华70年红本（30万包过户）能按揭，送车位，近地铁，拎包住,131万,15573元/㎡,翠景园(龙华),龙华-大浪-高峰路,3室2厅2卫,84.12㎡,南北,中层(共17层),2017年建造
全新智能家居，出门地铁口，业主包税出售,520万,62053元/㎡,君成雍和园,宝安-新安-前进二路,3室2厅2卫,83.8㎡,西南,低层(共41层),2016年建造
香山美墅少有的高品质装修，168平31房，高层视野好,2250万,134073元/㎡,香山美墅,南山-华侨城-沙河东路376号,3室2厅3卫,167.82㎡,东南,中层(共47层),2017年建造
融湖 有2房，满五年，高楼层，南向，急售换房！！,270万,38029元/㎡,融湖中心城(一期),龙岗-平湖-歧阳路8号,2室2厅1卫,71㎡,东南,高层(共31层),2013年建造
价格甄选的三房两卫看房随时急卖满五红本,616万,71214元/㎡,深物业前海港湾花园,南山-前海-月亮湾大道2007号,3室2厅2卫,86.5㎡,南北,低层(共34层),2017年建造
蚝业雅苑~送车位~送储藏室~送家具家电~观景房,158万,21067元/㎡,蚝业雅苑,宝安-西乡-盐田新一村九巷,3室2厅1卫,75㎡,南,中层(共30层),2018年建造
急售！莲花西，电梯小高层，居家3房2卫，凤凰楼层，红五,639万,65371元/㎡,国泰豪园,福田-景田南-景田南路2号,3室2厅2卫,97.75㎡,南北,高层(共16层),2003年建造
  瀚海湾清水房，4房2卫高楼层，视野开阔，有停车位,555万,47845元/㎡,卓越荣津瀚海湾名庭,盐田-沙头角-金融路91-1号,4室2厅2卫,116㎡,南北,高层(共32层),2019年建造
客厅80平，送100平，一手现房，大平层，鹏广达湾区壹号,548万,42154元/㎡,鹏广达湾区壹号,盐田-盐田-东海四街,3室2厅2卫,130㎡,南北,中层(共58层),2023年建造
万科天誉(二期) 双卫    栋 业主依旧换新买南山以订房,388万,43237元/㎡,万科天誉(二期),"龙岗-龙岗中心城-龙翔大道,近德政路",3室2厅2卫,89.74㎡,东北,中层(共50层),2017年建造
（215W）买悦海花园 高楼层 70平大两房,215万,31160元/㎡,佳兆业悦海花园,盐田-盐田-洪安二街62号,2室2厅1卫,69㎡,西北,中层(共32层),2018年建造
来电85折 精装三房 现房 地铁口 钧濠MixPark(楼),166.8万,32560元/㎡,钧濠MixPark(商住楼),布吉-布吉街-西环路,3室2厅2卫,51.23㎡,南,低层(共21层),2023年建造
天悦龙庭三房，安静看花园，家私家电齐全，温馨，合适居住！,780万,84252元/㎡,天悦龙庭(一期),宝安-宝安中心区-雅兰路19号,3室2厅1卫,92.58㎡,东南,低层(共28层),2005年建造
xin出！次顶层，采光观景好，双卧客厅朝南，南向面,141万,21693元/㎡,凤凰世纪花园,宝安-塘尾-大洋路168号,3室2厅2卫,65㎡,南北,中层(共12层),2019年建造
（朝南叠墅 送露台地下室）满5年税少 位置安静 居住舒适度高,800万,58837元/㎡,万科城,龙岗-万科城-坂雪岗大道,3室2厅2卫,135.97㎡,南北,共3层,2008年建造
光明双地铁物业 精装三房 红本满五 包过户包税 价格空间大,180万,15000元/㎡,光明新村,光明-光明-华裕路,3室2厅2卫,120㎡,南,中层(共27层),2018年建造
佳兆业山海苑四房卖325万，满五年地铁口上面，中心地段带花园,342万,32572元/㎡,佳兆业山海苑,盐田-盐田-盐田路24号,4室2厅2卫,105㎡,南北,低层(共31层),2016年建造
原价546万，现业主实收468万到手，看上可来谈,546.8万,62500元/㎡,特发和平里(二期),龙华-龙华-民塘路566号,3室2厅2卫,87.48㎡,北,中层(共49层),2015年建造
08年次新小区三房！,649万,78033元/㎡,方鼎华庭,南山-南头-南山大道3908号,3室2厅1卫,83.17㎡,南,中层(共11层),2008年建造
.水榭花都三期花园社区大房，客厅出阳台使用率高,4400万,214729元/㎡,水榭花都,福田-香蜜湖-红荔西路8004号,6室2厅3卫,204.91㎡,南,低层(共30层),2005年建造
佳兆业茗萃园(三期)改善大四房赠送高达30，满五  税费少,350万,29752元/㎡,佳兆业茗萃园(三期),龙岗-平湖-平安大道315号,4室2厅2卫,117.64㎡,东北,中层(共27层),2009年建造
不服来辩，不骗不忽悠，就要真实，在售中很  的三房,600万,70589元/㎡,嘉宝田花园,罗湖-笋岗-笋岗东路2008号,3室2厅2卫,85㎡,西南,中层(共16层),2002年建造
降价急售！460买福田中心区旁，居家社区南向大两房采光好,488万,60255元/㎡,嘉洲豪园,福田-新洲-滨河大道9013号,2室2厅1卫,80.99㎡,东南,高层(共9层),1998年建造
远洋新干线(二期) 商圈成熟 临地铁 交通便利 有电梯,365万,31342元/㎡,远洋新干线(二期),"龙岗-南联-银翠路,近刘屋路",4室2厅2卫,116.46㎡,南,高层(共32层),2016年建造
双龙抱珠，信和  户型没有之一，红本满五，看房方便,520万,75265元/㎡,信和自由广场,南山-南油-南海大道2088号,2室2厅1卫,69.09㎡,西北,高层(共28层),2006年建造
东海花园二期，诚心出售，价格可谈,1730万,131449元/㎡,东海花园(二期),福田-香蜜湖-香林路22号,4室2厅2卫,131.61㎡,西北,高层(共17层),2000年建造
悦峰华府 满二 商业配套成熟 交通便利 次新房 近医院,185万,39362元/㎡,悦峰华府,罗湖-草埔-木棉岭路4号,2室1厅1卫,47㎡,南,高层(共51层),2023年建造
光明凤凰城龙光玖龙台笋盘，业主急出，来电直省100万,560万,58074元/㎡,龙光玖龙台,光明-光明-观光路,3室2厅2卫,96.43㎡,南北,高层(共43层),2019年建造
金地上塘道业主急卖85折开价就卖诚心出售税费少,490万,56878元/㎡,金地上塘道(二期),龙华-民治-上塘路8号,4室2厅2卫,86.15㎡,东,中层(共29层),2011年建造
水贝 地铁口大三房 急卖价格可谈  看房方便,548万,61949元/㎡,泊林花园,罗湖-水贝-水贝二路38号,3室2厅2卫,88.46㎡,东北,低层(共23层),2006年建造
南天二花园 小三房 医疗配套成熟 满五 中间楼层采光好,950万,101064元/㎡,南天二花园,福田-百花-百花二路31号,3室2厅1卫,94㎡,南,中层(共19层),1995年建造
凤凰层 4开间全南向厅出阳台！钥匙看房！近福田口岸 地铁,518万,58545元/㎡,港田花园,福田-皇岗-裕亨路5号,3室2厅2卫,88.48㎡,南,高层(共32层),2003年建造
恒裕二高楼层海景四房 使用高 业主着急卖价格可空间！,2950万,333372元/㎡,恒裕滨城(二期),南山-后海-中心路2001号,4室2厅2卫,88.49㎡,东北,中层(共45层),2015年建造
万科麓城 满五  住房 88平 精装修 房东急置换 诚意卖房,380万,43016元/㎡,万科麓城一期,布吉-上水径-布龙路,3室2厅1卫,88.34㎡,西南,高层(共30层),2015年建造
此房税费低 鼎胜金域世家精装5 室，比同户型单价低,1480万,87860元/㎡,鼎胜金域世家,南山-西丽-石鼓路,5室2厅2卫,168.45㎡,南北,中层(共31层),2012年建造
金尊府中式豪宅精装修现房，拎包入住。看房方便。满五  ,300万,26199元/㎡,信达泰禾金尊府,坪山-坪山-坪山大道,4室2厅2卫,114.51㎡,南北,中层(共30层),2018年建造
业主非常急卖 一天打了几个电话来 看房方便 诚心出售,270万,30108元/㎡,承翰陶源花园,龙岗-龙岗中心城-友谊路,3室2厅2卫,89.68㎡,南北,高层(共32层),2014年建造
香域中央 厅出大阳台 南北通 带子母车位 有钥匙随时看房,3900万,208892元/㎡,香域中央花园,福田-香蜜湖-农园路66号,4室2厅2卫,186.7㎡,南北,中层(共25层),2006年建造
前海精装4房，福临苑电梯房超高实用户型，满5  ，地铁口物业,588万,68692元/㎡,福临苑,南山-南山中心区-南山大道2019号,4室2厅2卫,85.6㎡,东南,高层(共21层),2003年建造
安静中层，沃尔玛地铁口，福外景秀中小旁，红五一，大花园社区,644万,74400元/㎡,景蜜村,福田-景田北-景田北三街,3室2厅1卫,86.56㎡,南北,中层(共7层),1997年建造
福田新一代，14栋低密度社区，南向大3房，满五，精装修！,599万,63474元/㎡,颐林雅院,福田-上梅林-中康北路77号,3室2厅1卫,94.37㎡,南,高层(共8层),1998年建造
4字头东南向！益田村装修天花板！精装自住！,500万,66086元/㎡,益田村,福田-益田村-益田路,3室2厅1卫,75.66㎡,南,高层(共8层),1995年建造
